student_id,year,band,instrument,lyrical_etude_musicality_tempo_style,lyrical_etude_tone_quality,lyrical_etude_note_accuracy,lyrical_etude_rhythmic_accuracy,lyrical_etude_artistry,technical_etude_musicality_tempo_style,technical_etude_tone_quality,technical_etude_note_accuracy,technical_etude_rhythmic_accuracy,technical_etude_articulation,technical_etude_artistry,sight_reading_musicality_tempo_style,sight_reading_tone_quality,sight_reading_note_accuracy,sight_reading_rhythmic_accuracy,sight_reading_artistry,scales_chromatic,scales_g,scales_gb,scales_c,scales_f,scales_bb,scales_eb,scales_ab,scales_a,scales_b,scales_d,scales_e,scales_db,scales_tone_quality,scales_musicality_tempo_style,scales_articulation_style,scales_note_accuracy
28618,2013,symphonicband,Flute,0.4,0.53,0.4,0.6,0.0,0.4,0.47,0.6,0.5,-1,0.0,0.3,0.4,0.3,0.4,0.0,0.0,0.38,0.0,0.38,0.0,0.12,0.25,0.12,0.12,0.0,0.12,0.0,0.12,0.25,0.5,-1,0.13
28626,2013,symphonicband,Flute,0.4,0.33,0.4,0.4,0.2,0.25,0.33,0.3,0.3,-1,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0
28685,2013,symphonicband,Flute,0.55,0.67,0.8,0.7,0.6,0.55,0.67,0.6,0.6,-1,0.6,0.4,0.6,0.5,0.6,0.2,0.0,0.5,0.0,0.75,0.0,0.5,0.5,0.38,0.38,0.38,0.5,0.0,0.12,0.75,0.5,-1,0.67
28721,2013,symphonicband,Flute,0.5,0.53,0.8,0.7,0.4,0.55,0.6,0.8,0.8,-1,0.6,0.5,0.4,0.5,0.5,0.4,0.8,0.5,0.5,0.75,0.5,0.62,0.38,0.5,0.5,0.75,0.38,0.5,0.75,0.6,0.8,-1,0.73
28724,2013,symphonicband,Flute,0.45,0.53,0.8,0.8,0.6,0.45,0.53,0.7,0.7,-1,0.2,0.4,0.4,0.5,0.4,0.2,0.67,0.5,0.0,0.75,0.5,0.38,0.38,0.38,0.38,0.62,0.38,0.5,0.5,0.55,0.7,-1,0.63
28726,2013,symphonicband,Flute,0.6,0.73,0.8,0.7,0.6,0.65,0.8,0.8,0.8,-1,0.6,0.3,0.4,0.5,0.4,0.2,0.73,0.62,0.62,0.88,0.5,0.62,0.5,0.5,0.5,0.38,0.62,0.5,0.5,0.7,0.8,-1,0.8
28802,2013,symphonicband,Flute,0.55,0.47,0.7,0.6,0.4,0.55,0.53,0.6,0.6,-1,0.4,0.3,0.4,0.4,0.4,0.2,0.6,0.62,0.0,0.62,0.62,0.62,0.62,0.62,0.62,0.5,0.62,0.5,0.62,0.4,0.5,-1,0.7
28811,2013,symphonicband,Flute,0.6,0.6,0.8,0.7,0.4,0.6,0.47,0.7,0.7,-1,0.4,0.2,0.4,0.3,0.4,0.0,0.47,0.5,0.25,0.5,0.25,0.5,0.12,0.5,0.0,0.0,0.38,0.38,0.5,0.45,0.5,-1,0.4
28909,2013,symphonicband,Flute,0.65,0.67,0.8,0.8,0.6,0.65,0.67,0.8,0.8,-1,0.6,0.5,0.6,0.6,0.5,0.4,0.73,0.62,0.5,0.88,0.5,0.62,0.5,0.5,0.62,0.88,0.75,0.62,0.88,0.75,0.8,-1,0.8
28947,2013,symphonicband,Flute,0.8,0.87,0.9,0.9,0.8,0.7,0.8,0.8,0.8,-1,0.8,0.3,0.8,0.4,0.4,0.2,0.6,0.62,0.5,0.75,0.62,0.5,0.5,0.62,0.5,0.38,0.5,0.5,0.62,0.65,0.7,-1,0.7
28568,2013,symphonicband,Trombone,0.6,0.6,1.0,0.8,0.6,0.75,0.6,0.7,0.7,-1,0.6,0.4,0.6,0.4,0.6,0.4,0.67,0.38,0.38,0.25,0.5,0.5,0.25,0.5,0.38,0.5,0.38,0.38,0.25,0.5,0.5,-1,0.67
28570,2013,symphonicband,Trombone,0.6,0.8,1.0,0.9,0.6,0.9,0.8,0.8,0.8,-1,0.8,0.5,0.6,0.7,0.7,0.4,0.67,0.5,0.38,0.75,0.38,0.38,0.5,0.5,0.5,0.5,0.75,0.5,0.88,0.5,0.8,-1,0.73
28620,2013,symphonicband,Trombone,0.25,0.2,0.5,0.3,0.2,0.5,0.2,0.5,0.2,-1,0.2,0.1,0.2,0.2,0.5,0.2,0.13,0.0,0.0,0.0,0.25,0.38,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.5,0.2,-1,0.17
