ScoreID,Student,Instrument,ScoreGroup,Description,Score,MaxScore,NormalizedScore
456105,28576,Percussion,Mallet Etude,"Musicality, Tempo, & Style",8,20.0,0.4
456106,28576,Percussion,Mallet Etude,Note Accuracy & Tone,8,10.0,0.8
456107,28576,Percussion,Mallet Etude,Rhythmic Accuracy,5,10.0,0.5
456151,28576,Percussion,Reading-Mallet,"Musicality, Tempo, & Style",3,15.0,0.2
456149,28576,Percussion,Reading-Mallet,Note Accuracy & Tone,4,10.0,0.4
456150,28576,Percussion,Reading-Mallet,Rhythmic Accuracy & Articulation,2,10.0,0.2
456154,28576,Percussion,Reading-Snare,"Musicality, Tempo, & Style",3,15.0,0.2
456152,28576,Percussion,Reading-Snare,Note Accuracy & Tone,2,10.0,0.2
456153,28576,Percussion,Reading-Snare,Rhythmic Accuracy & Articulation,2,10.0,0.2
456145,28576,Percussion,Chromatic Scale,Chromatic Scale,15,15.0,1.0
456108,28576,Percussion,Snare Etude,"Musicality, Tempo, & Style",4,20.0,0.2
456109,28576,Percussion,Snare Etude,Rudimental Accuracy,2,10.0,0.2
456110,28576,Percussion,Snare Etude,Rhythmic Accuracy,2,10.0,0.2
456142,28576,Percussion,Timpani Etude,"Musicality, Tempo, & Style",8,20.0,0.4
456143,28576,Percussion,Timpani Etude,Tuning Accuracy,4,10.0,0.4
456144,28576,Percussion,Timpani Etude,Rhythmic Accuracy,4,10.0,0.4
436504,28578,Euphonium,Lyrical Etude,"Musicality, Tempo, & Style",11,20.0,0.55
436506,28578,Euphonium,Lyrical Etude,Note Accuracy,7,10.0,0.7
436507,28578,Euphonium,Lyrical Etude,Rhythmic Accuracy,7,10.0,0.7
436505,28578,Euphonium,Lyrical Etude,Tone Quality,9,15.0,0.6
436517,28578,Euphonium,Major Scales,A,1,8.0,0.125
436516,28578,Euphonium,Major Scales,Ab,3,8.0,0.375
436519,28578,Euphonium,Major Scales,B,1,8.0,0.125
436518,28578,Euphonium,Major Scales,Bb,1,8.0,0.125
436520,28578,Euphonium,Major Scales,C,2,8.0,0.25
436514,28578,Euphonium,Chromatic Scale,Chromatic Scale,0,15.0,0.0
436522,28578,Euphonium,Major Scales,D,2,8.0,0.25
436521,28578,Euphonium,Major Scales,Db,2,8.0,0.25
436524,28578,Euphonium,Major Scales,E,1,8.0,0.125
436523,28578,Euphonium,Major Scales,Eb,2,8.0,0.25
436525,28578,Euphonium,Major Scales,F,2,8.0,0.25
436515,28578,Euphonium,Major Scales,G,3,8.0,0.375
436526,28578,Euphonium,Major Scales,Gb,0,8.0,0.0
436532,28578,Euphonium,Sight-Reading,"Musicality, Tempo, & Style",5,10.0,0.5
436530,28578,Euphonium,Sight-Reading,Note Accuracy,5,10.0,0.5
436531,28578,Euphonium,Sight-Reading,Rhythmic Accuracy,5,10.0,0.5
436533,28578,Euphonium,Sight-Reading,Tone Quality,3,5.0,0.6
436509,28578,Euphonium,Technical Etude,"Musicality, Tempo, & Style",12,20.0,0.6
436511,28578,Euphonium,Technical Etude,Note Accuracy,7,10.0,0.7
436512,28578,Euphonium,Technical Etude,Rhythmic Accuracy,6,10.0,0.6
436510,28578,Euphonium,Technical Etude,Tone Quality,9,15.0,0.6
439582,28579,Trumpet,Lyrical Etude,"Musicality, Tempo, & Style",13,20.0,0.65
439584,28579,Trumpet,Lyrical Etude,Note Accuracy,8,10.0,0.8
439585,28579,Trumpet,Lyrical Etude,Rhythmic Accuracy,8,10.0,0.8
439583,28579,Trumpet,Lyrical Etude,Tone Quality,12,15.0,0.8
439595,28579,Trumpet,Major Scales,A,3,8.0,0.375
439594,28579,Trumpet,Major Scales,Ab,6,8.0,0.75
439597,28579,Trumpet,Major Scales,B,4,8.0,0.5
439596,28579,Trumpet,Major Scales,Bb,5,8.0,0.625
439598,28579,Trumpet,Major Scales,C,5,8.0,0.625
439592,28579,Trumpet,Chromatic Scale,Chromatic Scale,11,15.0,0.7333333333333333
439600,28579,Trumpet,Major Scales,D,6,8.0,0.75
439599,28579,Trumpet,Major Scales,Db,7,8.0,0.875
439602,28579,Trumpet,Major Scales,E,4,8.0,0.5
439601,28579,Trumpet,Major Scales,Eb,5,8.0,0.625
439603,28579,Trumpet,Major Scales,F,6,8.0,0.75
439593,28579,Trumpet,Major Scales,G,4,8.0,0.5
439604,28579,Trumpet,Major Scales,Gb,5,8.0,0.625
