ScoreID,Student,Instrument,CategoryGroup,Category,Score
456105,28576,Percussion,Mallet Etude,"Musicality, Tempo & Style",8
456106,28576,Percussion,Mallet Etude,Note Accuracy,8
456107,28576,Percussion,Mallet Etude,Rhythmic Accuracy,5
456151,28576,Percussion,Reading-Mallet,Musicality & Style,3
456149,28576,Percussion,Reading-Mallet,Note Accuracy & Tone,4
456150,28576,Percussion,Reading-Mallet,Rhythmic Accuracy & Articulation,2
456154,28576,Percussion,Reading-Snare,Musicality & Style,3
456152,28576,Percussion,Reading-Snare,Note Accuracy & Tone,2
456153,28576,Percussion,Reading-Snare,Rhythmic Accuracy & Articulation,2
456157,28576,Percussion,Reading-Timpani,Musicality & Style,0
456155,28576,Percussion,Reading-Timpani,Note Accuracy,0
456156,28576,Percussion,Reading-Timpani,Rhythmic Accuracy & Articulation,0
456145,28576,Percussion,Scales,Chromatic,15
456148,28576,Percussion,Scales,"Musicality, Phrasing & Style",8
456146,28576,Percussion,Scales,Note Accuracy,24
456147,28576,Percussion,Scales,Tempo & Consistency,32
456108,28576,Percussion,Snare Etude,"Musicallyty, Tempo & Style",4
456109,28576,Percussion,Snare Etude,Note Accuracy,2
456110,28576,Percussion,Snare Etude,Rhythmic Accuracy,2
456142,28576,Percussion,Timpani Etude,"Musicality, Tempo, & Style",8
456143,28576,Percussion,Timpani Etude,Note Accuracy,4
456144,28576,Percussion,Timpani Etude,Rhythmic Accuracy,4
436508,28578,Euphonium,Lyrical Etude,Artistry,2
436504,28578,Euphonium,Lyrical Etude,"Musicallity, Tempo & Style",11
436506,28578,Euphonium,Lyrical Etude,Note Accuracy,7
436507,28578,Euphonium,Lyrical Etude,Rhythmic Accuracy,7
436505,28578,Euphonium,Lyrical Etude,Tone Quality,9
436517,28578,Euphonium,Scales,A,1
436516,28578,Euphonium,Scales,Ab,3
436519,28578,Euphonium,Scales,B,1
436518,28578,Euphonium,Scales,Bb,1
436520,28578,Euphonium,Scales,C,2
436514,28578,Euphonium,Scales,Chromatic,0
436522,28578,Euphonium,Scales,D,2
436521,28578,Euphonium,Scales,Db,2
436524,28578,Euphonium,Scales,E,1
436523,28578,Euphonium,Scales,Eb,2
436525,28578,Euphonium,Scales,F,2
436515,28578,Euphonium,Scales,G,3
436526,28578,Euphonium,Scales,Gb,0
436529,28578,Euphonium,Scales,"Musicality, Tempo, & Style",4
436527,28578,Euphonium,Scales,Note Accuracy/Consistency,13
436528,28578,Euphonium,Scales,Tone Quality,10
436534,28578,Euphonium,Sight-Reading,Artistry,2
436532,28578,Euphonium,Sight-Reading,"Musicallity, Tempo & Style",5
436530,28578,Euphonium,Sight-Reading,Note Accuracy,5
436531,28578,Euphonium,Sight-Reading,Rhythmic Accuracy,5
436533,28578,Euphonium,Sight-Reading,Tone Quality,3
436513,28578,Euphonium,Technical Etude,Artistry,2
436509,28578,Euphonium,Technical Etude,"Musicallity, Tempo & Style",12
436511,28578,Euphonium,Technical Etude,Note Accuracy,7
436512,28578,Euphonium,Technical Etude,Rhythmic Accuracy,6
436510,28578,Euphonium,Technical Etude,Tone Quality,9
439586,28579,Trumpet,Lyrical Etude,Artistry,3
439582,28579,Trumpet,Lyrical Etude,"Musicallity, Tempo & Style",13
439584,28579,Trumpet,Lyrical Etude,Note Accuracy,8
439585,28579,Trumpet,Lyrical Etude,Rhythmic Accuracy,8
439583,28579,Trumpet,Lyrical Etude,Tone Quality,12
439595,28579,Trumpet,Scales,A,3
439594,28579,Trumpet,Scales,Ab,6
439597,28579,Trumpet,Scales,B,4
439596,28579,Trumpet,Scales,Bb,5
439598,28579,Trumpet,Scales,C,5
439592,28579,Trumpet,Scales,Chromatic,11
439600,28579,Trumpet,Scales,D,6
439599,28579,Trumpet,Scales,Db,7
439602,28579,Trumpet,Scales,E,4
439601,28579,Trumpet,Scales,Eb,5
439603,28579,Trumpet,Scales,F,6
439593,28579,Trumpet,Scales,G,4
439604,28579,Trumpet,Scales,Gb,5
439607,28579,Trumpet,Scales,"Musicality, Tempo, & Style",6
439605,28579,Trumpet,Scales,Note Accuracy/Consistency,20
439606,28579,Trumpet,Scales,Tone Quality,10
439612,28579,Trumpet,Sight-Reading,Artistry,3
439610,28579,Trumpet,Sight-Reading,"Musicallity, Tempo & Style",4
439608,28579,Trumpet,Sight-Reading,Note Accuracy,6
439609,28579,Trumpet,Sight-Reading,Rhythmic Accuracy,4
439611,28579,Trumpet,Sight-Reading,Tone Quality,3
439591,28579,Trumpet,Technical Etude,Artistry,3
439587,28579,Trumpet,Technical Etude,"Musicallity, Tempo & Style",14
439589,28579,Trumpet,Technical Etude,Note Accuracy,7
439590,28579,Trumpet,Technical Etude,Rhythmic Accuracy,6
439588,28579,Trumpet,Technical Etude,Tone Quality,12
437996,28580,Bb Clarinet,Lyrical Etude,Artistry,3
437992,28580,Bb Clarinet,Lyrical Etude,"Musicallity, Tempo & Style",15
437994,28580,Bb Clarinet,Lyrical Etude,Note Accuracy,9
437995,28580,Bb Clarinet,Lyrical Etude,Rhythmic Accuracy,9
437993,28580,Bb Clarinet,Lyrical Etude,Tone Quality,12
438005,28580,Bb Clarinet,Scales,A,0
438004,28580,Bb Clarinet,Scales,Ab,0
438007,28580,Bb Clarinet,Scales,B,0
438006,28580,Bb Clarinet,Scales,Bb,0
438008,28580,Bb Clarinet,Scales,C,0
438002,28580,Bb Clarinet,Scales,Chromatic,12
438010,28580,Bb Clarinet,Scales,D,0
438009,28580,Bb Clarinet,Scales,Db,0
438012,28580,Bb Clarinet,Scales,E,0
438011,28580,Bb Clarinet,Scales,Eb,0
438013,28580,Bb Clarinet,Scales,F,0
438003,28580,Bb Clarinet,Scales,G,0
438014,28580,Bb Clarinet,Scales,Gb,0
438017,28580,Bb Clarinet,Scales,"Musicality, Tempo, & Style",2
438015,28580,Bb Clarinet,Scales,Note Accuracy/Consistency,2
438016,28580,Bb Clarinet,Scales,Tone Quality,4
438022,28580,Bb Clarinet,Sight-Reading,Artistry,2
