ScoreID,Student,Instrument,CategoryNew,ScoreGroup,Description,Score,MaxScore,NormalizedScore
435602,28586,Oboe,"Lyrical Etude-Musicallity, Tempo & Style",Lyrical Etude,"Musicality, Tempo, & Style",10,20.0,0.5
435603,28586,Oboe,Lyrical Etude-Tone Quality,Lyrical Etude,Tone Quality,7,15.0,0.4666666666666667
435604,28586,Oboe,Lyrical Etude-Note Accuracy,Lyrical Etude,Note Accuracy,7,10.0,0.7
435605,28586,Oboe,Lyrical Etude-Rhythmic Accuracy,Lyrical Etude,Rhythmic Accuracy,7,10.0,0.7
435607,28586,Oboe,"Technical Etude-Musicallity, Tempo & Style",Technical Etude,"Musicality, Tempo, & Style",10,20.0,0.5
435608,28586,Oboe,Technical Etude-Tone Quality,Technical Etude,Tone Quality,7,15.0,0.4666666666666667
435609,28586,Oboe,Technical Etude-Note Accuracy,Technical Etude,Note Accuracy,7,10.0,0.7
435610,28586,Oboe,Technical Etude-Rhythmic Accuracy,Technical Etude,Rhythmic Accuracy,7,10.0,0.7
435612,28586,Oboe,Scales-Chromatic,Chromatic Scale,Chromatic Scale,10,15.0,0.6666666666666666
435613,28586,Oboe,Scales-G,Major Scales,G,5,8.0,0.625
436245,28592,Flute,"Lyrical Etude-Musicallity, Tempo & Style",Lyrical Etude,"Musicality, Tempo, & Style",14,20.0,0.7
436246,28592,Flute,Lyrical Etude-Tone Quality,Lyrical Etude,Tone Quality,5,15.0,0.3333333333333333
436247,28592,Flute,Lyrical Etude-Note Accuracy,Lyrical Etude,Note Accuracy,7,10.0,0.7
436248,28592,Flute,Lyrical Etude-Rhythmic Accuracy,Lyrical Etude,Rhythmic Accuracy,9,10.0,0.9
436250,28592,Flute,"Technical Etude-Musicallity, Tempo & Style",Technical Etude,"Musicality, Tempo, & Style",16,20.0,0.8
436251,28592,Flute,Technical Etude-Tone Quality,Technical Etude,Tone Quality,4,15.0,0.26666666666666666
436252,28592,Flute,Technical Etude-Note Accuracy,Technical Etude,Note Accuracy,8,10.0,0.8
436253,28592,Flute,Technical Etude-Rhythmic Accuracy,Technical Etude,Rhythmic Accuracy,9,10.0,0.9
436328,28592,Flute,Scales-Chromatic,Chromatic Scale,Chromatic Scale,10,15.0,0.6666666666666666
436329,28592,Flute,Scales-G,Major Scales,G,4,8.0,0.5
436330,28592,Flute,Scales-C,Major Scales,C,7,8.0,0.875
436331,28592,Flute,Scales-F,Major Scales,F,5,8.0,0.625
436332,28592,Flute,Scales-Bb,Major Scales,Bb,5,8.0,0.625
436333,28592,Flute,Scales-Eb,Major Scales,Eb,5,8.0,0.625
436334,28592,Flute,Scales-Ab,Major Scales,Ab,5,8.0,0.625
436335,28592,Flute,Scales-Db,Major Scales,Db,6,8.0,0.75
436339,28592,Flute,Sight-Reading-Note Accuracy,Sight-Reading,Note Accuracy,8,10.0,0.8
436340,28592,Flute,Sight-Reading-Rhythmic Accuracy,Sight-Reading,Rhythmic Accuracy,9,10.0,0.9
436341,28592,Flute,"Sight-Reading-Musicallity, Tempo & Style",Sight-Reading,"Musicality, Tempo, & Style",9,10.0,0.9
436342,28592,Flute,Sight-Reading-Tone Quality,Sight-Reading,Tone Quality,2,5.0,0.4
436364,28599,Flute,"Lyrical Etude-Musicallity, Tempo & Style",Lyrical Etude,"Musicality, Tempo, & Style",18,20.0,0.9
436365,28599,Flute,Lyrical Etude-Tone Quality,Lyrical Etude,Tone Quality,11,15.0,0.7333333333333333
436366,28599,Flute,Lyrical Etude-Note Accuracy,Lyrical Etude,Note Accuracy,10,10.0,1.0
436367,28599,Flute,Lyrical Etude-Rhythmic Accuracy,Lyrical Etude,Rhythmic Accuracy,10,10.0,1.0
436369,28599,Flute,"Technical Etude-Musicallity, Tempo & Style",Technical Etude,"Musicality, Tempo, & Style",18,20.0,0.9
436370,28599,Flute,Technical Etude-Tone Quality,Technical Etude,Tone Quality,14,15.0,0.9333333333333333
436371,28599,Flute,Technical Etude-Note Accuracy,Technical Etude,Note Accuracy,10,10.0,1.0
436372,28599,Flute,Technical Etude-Rhythmic Accuracy,Technical Etude,Rhythmic Accuracy,8,10.0,0.8
436374,28599,Flute,Scales-Chromatic,Chromatic Scale,Chromatic Scale,14,15.0,0.9333333333333333
436406,28599,Flute,Scales-G,Major Scales,G,5,8.0,0.625
436407,28599,Flute,Scales-C,Major Scales,C,8,8.0,1.0
436408,28599,Flute,Scales-F,Major Scales,F,5,8.0,0.625
436409,28599,Flute,Scales-Bb,Major Scales,Bb,4,8.0,0.5
436410,28599,Flute,Scales-Eb,Major Scales,Eb,8,8.0,1.0
436411,28599,Flute,Scales-Ab,Major Scales,Ab,4,8.0,0.5
436412,28599,Flute,Scales-Db,Major Scales,Db,7,8.0,0.875
436416,28599,Flute,Sight-Reading-Note Accuracy,Sight-Reading,Note Accuracy,6,10.0,0.6
436417,28599,Flute,Sight-Reading-Rhythmic Accuracy,Sight-Reading,Rhythmic Accuracy,6,10.0,0.6
436418,28599,Flute,"Sight-Reading-Musicallity, Tempo & Style",Sight-Reading,"Musicality, Tempo, & Style",8,10.0,0.8
436419,28599,Flute,Sight-Reading-Tone Quality,Sight-Reading,Tone Quality,4,5.0,0.8
