ScoreID,Student,Instrument,CategoryNew,CategoryGroup,Category,Score
435602,28586,Oboe,"Lyrical Etude-Musicallity, Tempo & Style",Lyrical Etude,"Musicallity, Tempo & Style",10
435603,28586,Oboe,Lyrical Etude-Tone Quality,Lyrical Etude,Tone Quality,7
435604,28586,Oboe,Lyrical Etude-Note Accuracy,Lyrical Etude,Note Accuracy,7
435605,28586,Oboe,Lyrical Etude-Rhythmic Accuracy,Lyrical Etude,Rhythmic Accuracy,7
435606,28586,Oboe,Lyrical Etude-Artistry,Lyrical Etude,Artistry,2
435607,28586,Oboe,"Technical Etude-Musicallity, Tempo & Style",Technical Etude,"Musicallity, Tempo & Style",10
435608,28586,Oboe,Technical Etude-Tone Quality,Technical Etude,Tone Quality,7
435609,28586,Oboe,Technical Etude-Note Accuracy,Technical Etude,Note Accuracy,7
435610,28586,Oboe,Technical Etude-Rhythmic Accuracy,Technical Etude,Rhythmic Accuracy,7
435611,28586,Oboe,Technical Etude-Articulation,Technical Etude,Articulation,2
435612,28586,Oboe,Scales-Chromatic,Scales,Chromatic,10
435613,28586,Oboe,Scales-G,Scales,G,5
436245,28592,Flute,"Lyrical Etude-Musicallity, Tempo & Style",Lyrical Etude,"Musicallity, Tempo & Style",14
436246,28592,Flute,Lyrical Etude-Tone Quality,Lyrical Etude,Tone Quality,5
436247,28592,Flute,Lyrical Etude-Note Accuracy,Lyrical Etude,Note Accuracy,7
436248,28592,Flute,Lyrical Etude-Rhythmic Accuracy,Lyrical Etude,Rhythmic Accuracy,9
436249,28592,Flute,Lyrical Etude-Artistry,Lyrical Etude,Artistry,3
436250,28592,Flute,"Technical Etude-Musicallity, Tempo & Style",Technical Etude,"Musicallity, Tempo & Style",16
436251,28592,Flute,Technical Etude-Tone Quality,Technical Etude,Tone Quality,4
436252,28592,Flute,Technical Etude-Note Accuracy,Technical Etude,Note Accuracy,8
436253,28592,Flute,Technical Etude-Rhythmic Accuracy,Technical Etude,Rhythmic Accuracy,9
436254,28592,Flute,Technical Etude-Articulation,Technical Etude,Articulation,3
436328,28592,Flute,Scales-Chromatic,Scales,Chromatic,10
436329,28592,Flute,Scales-G,Scales,G,4
436330,28592,Flute,Scales-C,Scales,C,7
436331,28592,Flute,Scales-F,Scales,F,5
436332,28592,Flute,Scales-Bb,Scales,Bb,5
436333,28592,Flute,Scales-Eb,Scales,Eb,5
436334,28592,Flute,Scales-Ab,Scales,Ab,5
436335,28592,Flute,Scales-Db,Scales,Db,6
436336,28592,Flute,Scales-Note Accuracy/Consistency,Scales,Note Accuracy/Consistency,25
436337,28592,Flute,Scales-Tone Quality,Scales,Tone Quality,5
436338,28592,Flute,"Scales-Musicality, Tempo, & Style",Scales,"Musicality, Tempo, & Style",7
436339,28592,Flute,Sight-Reading-Note Accuracy,Sight-Reading,Note Accuracy,8
436340,28592,Flute,Sight-Reading-Rhythmic Accuracy,Sight-Reading,Rhythmic Accuracy,9
436341,28592,Flute,"Sight-Reading-Musicallity, Tempo & Style",Sight-Reading,"Musicallity, Tempo & Style",9
436342,28592,Flute,Sight-Reading-Tone Quality,Sight-Reading,Tone Quality,2
