ScoreID,Student,Instrument,ScoreGroup,Description,Score,MaxScore,NormalizedScore
434050,28618,Flute,Lyrical Etude,"Musicality, Tempo, & Style",8,20.0,0.4
434051,28618,Flute,Lyrical Etude,Tone Quality,8,15.0,0.5333333333333333
434052,28618,Flute,Lyrical Etude,Note Accuracy,4,10.0,0.4
434053,28618,Flute,Lyrical Etude,Rhythmic Accuracy,6,10.0,0.6
434055,28618,Flute,Technical Etude,"Musicality, Tempo, & Style",8,20.0,0.4
434056,28618,Flute,Technical Etude,Tone Quality,7,15.0,0.4666666666666667
434057,28618,Flute,Technical Etude,Note Accuracy,6,10.0,0.6
434058,28618,Flute,Technical Etude,Rhythmic Accuracy,5,10.0,0.5
434060,28618,Flute,Chromatic Scale,Chromatic Scale,0,15.0,0.0
434061,28618,Flute,Major Scales,G,3,8.0,0.375
434062,28618,Flute,Major Scales,Ab,1,8.0,0.125
434063,28618,Flute,Major Scales,A,1,8.0,0.125
434064,28618,Flute,Major Scales,Bb,1,8.0,0.125
434065,28618,Flute,Major Scales,B,0,8.0,0.0
434066,28618,Flute,Major Scales,C,3,8.0,0.375
434067,28618,Flute,Major Scales,Db,1,8.0,0.125
434068,28618,Flute,Major Scales,D,1,8.0,0.125
434069,28618,Flute,Major Scales,Eb,2,8.0,0.25
434070,28618,Flute,Major Scales,E,0,8.0,0.0
434071,28618,Flute,Major Scales,F,0,8.0,0.0
434072,28618,Flute,Major Scales,Gb,0,8.0,0.0
434076,28618,Flute,Sight-Reading,Note Accuracy,3,10.0,0.3
434077,28618,Flute,Sight-Reading,Rhythmic Accuracy,4,10.0,0.4
434078,28618,Flute,Sight-Reading,"Musicality, Tempo, & Style",3,10.0,0.3
434079,28618,Flute,Sight-Reading,Tone Quality,2,5.0,0.4
434081,28626,Flute,Lyrical Etude,"Musicality, Tempo, & Style",8,20.0,0.4
434082,28626,Flute,Lyrical Etude,Tone Quality,5,15.0,0.3333333333333333
434083,28626,Flute,Lyrical Etude,Note Accuracy,4,10.0,0.4
434084,28626,Flute,Lyrical Etude,Rhythmic Accuracy,4,10.0,0.4
434086,28626,Flute,Technical Etude,"Musicality, Tempo, & Style",5,20.0,0.25
434087,28626,Flute,Technical Etude,Tone Quality,5,15.0,0.3333333333333333
434088,28626,Flute,Technical Etude,Note Accuracy,3,10.0,0.3
434089,28626,Flute,Technical Etude,Rhythmic Accuracy,3,10.0,0.3
434091,28626,Flute,Chromatic Scale,Chromatic Scale,0,15.0,0.0
