ScoreID,Student,Instrument,CategoryGroup,Category,Score
434050,28618,Flute,Lyrical Etude,"Musicallity, Tempo & Style",8
434051,28618,Flute,Lyrical Etude,Tone Quality,8
434052,28618,Flute,Lyrical Etude,Note Accuracy,4
434053,28618,Flute,Lyrical Etude,Rhythmic Accuracy,6
434054,28618,Flute,Lyrical Etude,Artistry,0
434055,28618,Flute,Technical Etude,"Musicallity, Tempo & Style",8
434056,28618,Flute,Technical Etude,Tone Quality,7
434057,28618,Flute,Technical Etude,Note Accuracy,6
434058,28618,Flute,Technical Etude,Rhythmic Accuracy,5
434059,28618,Flute,Technical Etude,Artistry,0
434060,28618,Flute,Scales,Chromatic,0
434061,28618,Flute,Scales,G,3
434062,28618,Flute,Scales,Ab,1
434063,28618,Flute,Scales,A,1
434064,28618,Flute,Scales,Bb,1
434065,28618,Flute,Scales,B,0
434066,28618,Flute,Scales,C,3
434067,28618,Flute,Scales,Db,1
434068,28618,Flute,Scales,D,1
434069,28618,Flute,Scales,Eb,2
434070,28618,Flute,Scales,E,0
434071,28618,Flute,Scales,F,0
434072,28618,Flute,Scales,Gb,0
434073,28618,Flute,Scales,Note Accuracy/Consistency,4
434074,28618,Flute,Scales,Tone Quality,5
434075,28618,Flute,Scales,"Musicality, Tempo, & Style",5
434076,28618,Flute,Sight-Reading,Note Accuracy,3
434077,28618,Flute,Sight-Reading,Rhythmic Accuracy,4
434078,28618,Flute,Sight-Reading,"Musicallity, Tempo & Style",3
434079,28618,Flute,Sight-Reading,Tone Quality,2
434080,28618,Flute,Sight-Reading,Artistry,0
434081,28626,Flute,Lyrical Etude,"Musicallity, Tempo & Style",8
434082,28626,Flute,Lyrical Etude,Tone Quality,5
434083,28626,Flute,Lyrical Etude,Note Accuracy,4
434084,28626,Flute,Lyrical Etude,Rhythmic Accuracy,4
434085,28626,Flute,Lyrical Etude,Artistry,1
434086,28626,Flute,Technical Etude,"Musicallity, Tempo & Style",5
434087,28626,Flute,Technical Etude,Tone Quality,5
434088,28626,Flute,Technical Etude,Note Accuracy,3
434089,28626,Flute,Technical Etude,Rhythmic Accuracy,3
434090,28626,Flute,Technical Etude,Artistry,0
434091,28626,Flute,Scales,Chromatic,0
434092,28626,Flute,Scales,G,0
434093,28626,Flute,Scales,Ab,0
434094,28626,Flute,Scales,A,0
434095,28626,Flute,Scales,Bb,0
434096,28626,Flute,Scales,B,0
434097,28626,Flute,Scales,C,0
434098,28626,Flute,Scales,Db,0
434099,28626,Flute,Scales,D,0
