ScoreID,Student,Instrument,ScoreGroup,Description,Score
641311,38819,Trumpet,Lyrical Etude,"Musicallity, Tempo & Style",2
641312,38819,Trumpet,Lyrical Etude,Tone Quality,2
641313,38819,Trumpet,Lyrical Etude,Note Accuracy,7
641314,38819,Trumpet,Lyrical Etude,Rhythmic Accuracy,5
641315,38819,Trumpet,Lyrical Etude,Artistry,0
641316,38819,Trumpet,Technical Etude,"Musicallity, Tempo & Style",2
641317,38819,Trumpet,Technical Etude,Tone Quality,2
641318,38819,Trumpet,Technical Etude,Note Accuracy,5
641319,38819,Trumpet,Technical Etude,Rhythmic Accuracy,5
641320,38819,Trumpet,Technical Etude,Articulation,2
641321,38819,Trumpet,Chromatic Scale,Chromatic,6
641322,38819,Trumpet,Major Scales,G,2
641323,38819,Trumpet,Major Scales,C,0
641324,38819,Trumpet,Major Scales,F,2
641325,38819,Trumpet,Major Scales,Bb,0
641326,38819,Trumpet,Major Scales,Eb,0
641327,38819,Trumpet,Major Scales,Ab,0
641328,38819,Trumpet,Major Scales,Db,0
641329,38819,Trumpet,Scales,Note Accuracy/Consistency,15
641330,38819,Trumpet,Scales,Tone Quality,4
641331,38819,Trumpet,Scales,"Musicality, Tempo, & Style",2
641332,38819,Trumpet,Sight-Reading,Note Accuracy,3
641333,38819,Trumpet,Sight-Reading,Rhythmic Accuracy,3
641334,38819,Trumpet,Sight-Reading,"Musicallity, Tempo & Style",1
641335,38819,Trumpet,Sight-Reading,Tone Quality,2
641336,38819,Trumpet,Sight-Reading,Artistry,1
643784,38821,Oboe,Lyrical Etude,"Musicallity, Tempo & Style",8
643785,38821,Oboe,Lyrical Etude,Tone Quality,5
643786,38821,Oboe,Lyrical Etude,Note Accuracy,8
643787,38821,Oboe,Lyrical Etude,Rhythmic Accuracy,6
643788,38821,Oboe,Lyrical Etude,Artistry,1
643792,38821,Oboe,Technical Etude,"Musicallity, Tempo & Style",8
643793,38821,Oboe,Technical Etude,Tone Quality,5
643794,38821,Oboe,Technical Etude,Note Accuracy,5
643795,38821,Oboe,Technical Etude,Rhythmic Accuracy,8
643796,38821,Oboe,Technical Etude,Articulation,1
643797,38821,Oboe,Chromatic Scale,Chromatic,5
643798,38821,Oboe,Major Scales,G,0
643799,38821,Oboe,Major Scales,C,0
643800,38821,Oboe,Major Scales,F,0
643801,38821,Oboe,Major Scales,Bb,6
643802,38821,Oboe,Major Scales,Eb,0
643803,38821,Oboe,Major Scales,Ab,0
643804,38821,Oboe,Major Scales,Db,0
643805,38821,Oboe,Scales,Note Accuracy/Consistency,10
643806,38821,Oboe,Scales,Tone Quality,5
643807,38821,Oboe,Scales,"Musicality, Tempo, & Style",1
643814,38821,Oboe,Sight-Reading,Note Accuracy,3
643815,38821,Oboe,Sight-Reading,Rhythmic Accuracy,3
643816,38821,Oboe,Sight-Reading,"Musicallity, Tempo & Style",0
643817,38821,Oboe,Sight-Reading,Tone Quality,0
643818,38821,Oboe,Sight-Reading,Artistry,0
637517,38822,Percussion,Mallet Etude,"Musicality, Tempo & Style",16
637518,38822,Percussion,Mallet Etude,Note Accuracy,9
637519,38822,Percussion,Mallet Etude,Rhythmic Accuracy,9
637520,38822,Percussion,Snare Etude,"Musicallyty, Tempo & Style",16
637521,38822,Percussion,Snare Etude,Note Accuracy,10
637522,38822,Percussion,Snare Etude,Rhythmic Accuracy,9
637523,38822,Percussion,Timpani Etude,"Musicality, Tempo, & Style",14
637524,38822,Percussion,Timpani Etude,Note Accuracy,10
637525,38822,Percussion,Timpani Etude,Rhythmic Accuracy,6
637526,38822,Percussion,Chromatic Scale,Chromatic,15
637527,38822,Percussion,Major Scales,Note Accuracy,30
637528,38822,Percussion,Major Scales,Tempo & Consistency,35
637529,38822,Percussion,Major Scales,"Musicality, Phrasing & Style",18
637993,38822,Percussion,Reading-Mallet,Note Accuracy & Tone,6
637994,38822,Percussion,Reading-Mallet,Rhythmic Accuracy & Articulation,6
637995,38822,Percussion,Reading-Mallet,Musicality & Style,6
637996,38822,Percussion,Reading-Snare,Note Accuracy & Tone,4
637997,38822,Percussion,Reading-Snare,Rhythmic Accuracy & Articulation,6
638014,38822,Percussion,Reading-Snare,Musicality & Style,10
637530,38822,Percussion,Reading-Timpani,Note Accuracy,0
637531,38822,Percussion,Reading-Timpani,Rhythmic Accuracy & Articulation,0
637532,38822,Percussion,Reading-Timpani,Musicality & Style,0
644772,38838,Trombone,Lyrical Etude,"Musicallity, Tempo & Style",15
644773,38838,Trombone,Lyrical Etude,Tone Quality,12
644774,38838,Trombone,Lyrical Etude,Note Accuracy,9
644775,38838,Trombone,Lyrical Etude,Rhythmic Accuracy,9
644776,38838,Trombone,Lyrical Etude,Artistry,3
644792,38838,Trombone,Technical Etude,"Musicallity, Tempo & Style",15
644777,38838,Trombone,Technical Etude,Tone Quality,10
644778,38838,Trombone,Technical Etude,Note Accuracy,7
644779,38838,Trombone,Technical Etude,Rhythmic Accuracy,10
644780,38838,Trombone,Technical Etude,Articulation,3
644781,38838,Trombone,Chromatic Scale,Chromatic,10
644782,38838,Trombone,Major Scales,G,0
644783,38838,Trombone,Major Scales,C,0
644784,38838,Trombone,Major Scales,F,1
644785,38838,Trombone,Major Scales,Bb,0
644786,38838,Trombone,Major Scales,Eb,0
644787,38838,Trombone,Major Scales,Ab,3
644788,38838,Trombone,Major Scales,Db,0
644789,38838,Trombone,Scales,Note Accuracy/Consistency,15
644790,38838,Trombone,Scales,Tone Quality,9
644791,38838,Trombone,Scales,"Musicality, Tempo, & Style",6
657581,38838,Trombone,Sight-Reading,Note Accuracy,1
657582,38838,Trombone,Sight-Reading,Rhythmic Accuracy,2
657583,38838,Trombone,Sight-Reading,"Musicallity, Tempo & Style",0
657584,38838,Trombone,Sight-Reading,Tone Quality,4
657585,38838,Trombone,Sight-Reading,Artistry,0
657612,38839,Trombone,Lyrical Etude,"Musicallity, Tempo & Style",10
657613,38839,Trombone,Lyrical Etude,Tone Quality,8
657614,38839,Trombone,Lyrical Etude,Note Accuracy,9
657615,38839,Trombone,Lyrical Etude,Rhythmic Accuracy,7
657616,38839,Trombone,Lyrical Etude,Artistry,1
657643,38839,Trombone,Technical Etude,"Musicallity, Tempo & Style",8
657644,38839,Trombone,Technical Etude,Tone Quality,8
657645,38839,Trombone,Technical Etude,Note Accuracy,8
657646,38839,Trombone,Technical Etude,Rhythmic Accuracy,5
657647,38839,Trombone,Technical Etude,Articulation,2
657648,38839,Trombone,Chromatic Scale,Chromatic,8
657649,38839,Trombone,Major Scales,G,0
