ScoreID,Student,Instrument,ScoreGroup,Description,Score
721495,38774,Alto Saxophone,Lyrical Etude,"Musicallity, Tempo & Style",18
721496,38774,Alto Saxophone,Lyrical Etude,Tone Quality,12
721497,38774,Alto Saxophone,Lyrical Etude,Note Accuracy,9
721498,38774,Alto Saxophone,Lyrical Etude,Rhythmic Accuracy,8
721499,38774,Alto Saxophone,Lyrical Etude,Artistry,4
721650,38774,Alto Saxophone,Technical Etude,"Musicallity, Tempo & Style",16
721651,38774,Alto Saxophone,Technical Etude,Tone Quality,13
721652,38774,Alto Saxophone,Technical Etude,Note Accuracy,8
721653,38774,Alto Saxophone,Technical Etude,Rhythmic Accuracy,7
721654,38774,Alto Saxophone,Technical Etude,Artistry,4
721655,38774,Alto Saxophone,Scales,Chromatic,14
721656,38774,Alto Saxophone,Scales,G,5
721657,38774,Alto Saxophone,Scales,Ab,3
721658,38774,Alto Saxophone,Scales,A,3
721659,38774,Alto Saxophone,Scales,Bb,0
721660,38774,Alto Saxophone,Scales,B,0
721661,38774,Alto Saxophone,Scales,C,0
721662,38774,Alto Saxophone,Scales,Db,3
721663,38774,Alto Saxophone,Scales,D,3
721664,38774,Alto Saxophone,Scales,Eb,3
721665,38774,Alto Saxophone,Scales,E,4
721666,38774,Alto Saxophone,Scales,F,4
721667,38774,Alto Saxophone,Scales,Gb,4
721668,38774,Alto Saxophone,Scales,Note Accuracy/Consistency,26
721669,38774,Alto Saxophone,Scales,Tone Quality,17
721670,38774,Alto Saxophone,Scales,"Musicality, Tempo, & Style",6
721671,38774,Alto Saxophone,Sight-Reading,Note Accuracy,7
721672,38774,Alto Saxophone,Sight-Reading,Rhythmic Accuracy,5
721673,38774,Alto Saxophone,Sight-Reading,"Musicallity, Tempo & Style",6
721674,38774,Alto Saxophone,Sight-Reading,Tone Quality,4
721675,38774,Alto Saxophone,Sight-Reading,Artistry,3
645482,38788,Flute,Lyrical Etude,"Musicallity, Tempo & Style",14
645483,38788,Flute,Lyrical Etude,Tone Quality,14
645484,38788,Flute,Lyrical Etude,Note Accuracy,9
645485,38788,Flute,Lyrical Etude,Rhythmic Accuracy,8
645486,38788,Flute,Lyrical Etude,Artistry,4
645487,38788,Flute,Technical Etude,"Musicallity, Tempo & Style",15
645488,38788,Flute,Technical Etude,Tone Quality,12
645489,38788,Flute,Technical Etude,Note Accuracy,8
645490,38788,Flute,Technical Etude,Rhythmic Accuracy,7
645491,38788,Flute,Technical Etude,Artistry,4
645492,38788,Flute,Scales,Chromatic,13
645493,38788,Flute,Scales,G,4
645494,38788,Flute,Scales,Ab,4
645495,38788,Flute,Scales,A,3
645496,38788,Flute,Scales,Bb,3
645497,38788,Flute,Scales,B,6
645498,38788,Flute,Scales,C,6
645499,38788,Flute,Scales,Db,6
645500,38788,Flute,Scales,D,7
645501,38788,Flute,Scales,Eb,4
645502,38788,Flute,Scales,E,3
645503,38788,Flute,Scales,F,4
645504,38788,Flute,Scales,Gb,4
645505,38788,Flute,Scales,Note Accuracy/Consistency,27
645506,38788,Flute,Scales,Tone Quality,15
645507,38788,Flute,Scales,"Musicality, Tempo, & Style",6
645508,38788,Flute,Sight-Reading,Note Accuracy,8
645509,38788,Flute,Sight-Reading,Rhythmic Accuracy,7
645510,38788,Flute,Sight-Reading,"Musicallity, Tempo & Style",7
645511,38788,Flute,Sight-Reading,Tone Quality,3
645512,38788,Flute,Sight-Reading,Artistry,3
633723,38791,Trumpet,Lyrical Etude,"Musicallity, Tempo & Style",10
633724,38791,Trumpet,Lyrical Etude,Tone Quality,9
633725,38791,Trumpet,Lyrical Etude,Note Accuracy,7
633726,38791,Trumpet,Lyrical Etude,Rhythmic Accuracy,8
633727,38791,Trumpet,Lyrical Etude,Artistry,4
633728,38791,Trumpet,Technical Etude,"Musicallity, Tempo & Style",17
633729,38791,Trumpet,Technical Etude,Tone Quality,10
633730,38791,Trumpet,Technical Etude,Note Accuracy,6
633731,38791,Trumpet,Technical Etude,Rhythmic Accuracy,8
633732,38791,Trumpet,Technical Etude,Artistry,4
633733,38791,Trumpet,Scales,Chromatic,13
633734,38791,Trumpet,Scales,G,5
633735,38791,Trumpet,Scales,Ab,4
633736,38791,Trumpet,Scales,A,4
633737,38791,Trumpet,Scales,Bb,3
633738,38791,Trumpet,Scales,B,3
633739,38791,Trumpet,Scales,C,5
633740,38791,Trumpet,Scales,Db,2
633741,38791,Trumpet,Scales,D,0
633742,38791,Trumpet,Scales,Eb,0
633748,38791,Trumpet,Scales,E,0
633749,38791,Trumpet,Scales,F,4
633750,38791,Trumpet,Scales,Gb,4
633751,38791,Trumpet,Scales,Note Accuracy/Consistency,15
633752,38791,Trumpet,Scales,Tone Quality,9
633753,38791,Trumpet,Scales,"Musicality, Tempo, & Style",7
633743,38791,Trumpet,Sight-Reading,Note Accuracy,5
633744,38791,Trumpet,Sight-Reading,Rhythmic Accuracy,5
633745,38791,Trumpet,Sight-Reading,"Musicallity, Tempo & Style",6
633746,38791,Trumpet,Sight-Reading,Tone Quality,4
633747,38791,Trumpet,Sight-Reading,Artistry,3
633754,38793,Trumpet,Lyrical Etude,"Musicallity, Tempo & Style",11
633755,38793,Trumpet,Lyrical Etude,Tone Quality,8
633756,38793,Trumpet,Lyrical Etude,Note Accuracy,6
633757,38793,Trumpet,Lyrical Etude,Rhythmic Accuracy,7
633758,38793,Trumpet,Lyrical Etude,Artistry,3
633759,38793,Trumpet,Technical Etude,"Musicallity, Tempo & Style",9
633760,38793,Trumpet,Technical Etude,Tone Quality,6
633761,38793,Trumpet,Technical Etude,Note Accuracy,5
633762,38793,Trumpet,Technical Etude,Rhythmic Accuracy,5
633763,38793,Trumpet,Technical Etude,Artistry,3
633764,38793,Trumpet,Scales,Chromatic,10
633765,38793,Trumpet,Scales,G,3
633766,38793,Trumpet,Scales,Ab,5
633767,38793,Trumpet,Scales,A,3
633768,38793,Trumpet,Scales,Bb,4
633769,38793,Trumpet,Scales,B,0
633770,38793,Trumpet,Scales,C,0
633771,38793,Trumpet,Scales,Db,0
633772,38793,Trumpet,Scales,D,0
633773,38793,Trumpet,Scales,Eb,0
633774,38793,Trumpet,Scales,E,0
633775,38793,Trumpet,Scales,F,0
633776,38793,Trumpet,Scales,Gb,3
633777,38793,Trumpet,Scales,Note Accuracy/Consistency,12
633778,38793,Trumpet,Scales,Tone Quality,10
633779,38793,Trumpet,Scales,"Musicality, Tempo, & Style",5
633780,38793,Trumpet,Sight-Reading,Note Accuracy,4
633781,38793,Trumpet,Sight-Reading,Rhythmic Accuracy,5
633782,38793,Trumpet,Sight-Reading,"Musicallity, Tempo & Style",4
