ScoreID,Student,Instrument,ScoreGroup,Description,Score
876318,51267,French Horn,Lyrical Etude,Tone Quality,15
876319,51267,French Horn,Lyrical Etude,Note Accuracy,7
876320,51267,French Horn,Lyrical Etude,Rhythmic Accuracy,8
876321,51267,French Horn,Lyrical Etude,"Musicallity, Tempo & Style",16
880659,51267,French Horn,Technical Etude,Tone Quality,17
880660,51267,French Horn,Technical Etude,Note Accuracy,8
880661,51267,French Horn,Technical Etude,Rhythmic Accuracy,8
880662,51267,French Horn,Technical Etude,"Musicallity, Tempo & Style",17
876322,51267,French Horn,Chromatic Scale,Chromatic Scale,10
876323,51267,French Horn,Major Scales,G,8
876324,51267,French Horn,Major Scales,Ab,8
876325,51267,French Horn,Major Scales,A,8
876326,51267,French Horn,Major Scales,Bb,9
876327,51267,French Horn,Major Scales,B,7
876328,51267,French Horn,Major Scales,C,7
876329,51267,French Horn,Major Scales,Db,7
876330,51267,French Horn,Major Scales,D,8
876331,51267,French Horn,Major Scales,Eb,8
876332,51267,French Horn,Major Scales,E,8
876333,51267,French Horn,Major Scales,F,8
876334,51267,French Horn,Major Scales,Gb,8
876335,51267,French Horn,Sight-Reading,Tone Quality,7
876336,51267,French Horn,Sight-Reading,Note Accuracy,8
876337,51267,French Horn,Sight-Reading,Rhythmic Accuracy,7
876338,51267,French Horn,Sight-Reading,"Musicallity, Tempo & Style",6
855376,51271,Trumpet,Lyrical Etude,Tone Quality,16
855377,51271,Trumpet,Lyrical Etude,Note Accuracy,6
855378,51271,Trumpet,Lyrical Etude,Rhythmic Accuracy,8
855379,51271,Trumpet,Lyrical Etude,"Musicallity, Tempo & Style",15
855380,51271,Trumpet,Technical Etude,Tone Quality,14
855381,51271,Trumpet,Technical Etude,Note Accuracy,6
855382,51271,Trumpet,Technical Etude,Rhythmic Accuracy,7
855383,51271,Trumpet,Technical Etude,"Musicallity, Tempo & Style",13
855384,51271,Trumpet,Chromatic Scale,Chromatic Scale,10
855385,51271,Trumpet,Major Scales,G,0
855386,51271,Trumpet,Major Scales,Ab,0
855387,51271,Trumpet,Major Scales,A,7
