ScoreID,Student,Instrument,ScoreGroup,Description,Score
845498,51268,Trombone,Lyrical Etude,Tone Quality,15
845499,51268,Trombone,Lyrical Etude,Note Accuracy,8
845500,51268,Trombone,Lyrical Etude,Rhythmic Accuracy,7
845501,51268,Trombone,Lyrical Etude,"Musicallity, Tempo & Style",12
845502,51268,Trombone,Technical Etude,Tone Quality,13
845503,51268,Trombone,Technical Etude,Note Accuracy,7
845504,51268,Trombone,Technical Etude,Rhythmic Accuracy,8
845505,51268,Trombone,Technical Etude,"Musicality, Tempo & Style",13
845506,51268,Trombone,Chromatic Scale,Chromatic Scale,12
845507,51268,Trombone,Major Scales,G,6
845508,51268,Trombone,Major Scales,C,4
845509,51268,Trombone,Major Scales,F,7
845510,51268,Trombone,Major Scales,Bb,4
845511,51268,Trombone,Major Scales,Eb,4
845512,51268,Trombone,Major Scales,Ab,4
845513,51268,Trombone,Major Scales,Db,3
845514,51268,Trombone,Sight-Reading,Tone Quality,7
845515,51268,Trombone,Sight-Reading,Note Accuracy,6
845516,51268,Trombone,Sight-Reading,Rhythmic Accuracy,6
845517,51268,Trombone,Sight-Reading,"Musicallity, Tempo & Style",4
869993,51295,Tuba,Lyrical Etude,Tone Quality,10
869994,51295,Tuba,Lyrical Etude,Note Accuracy,7
869995,51295,Tuba,Lyrical Etude,Rhythmic Accuracy,7
869996,51295,Tuba,Lyrical Etude,"Musicallity, Tempo & Style",11
869997,51295,Tuba,Technical Etude,Tone Quality,9
869998,51295,Tuba,Technical Etude,Note Accuracy,7
869999,51295,Tuba,Technical Etude,Rhythmic Accuracy,7
870000,51295,Tuba,Technical Etude,"Musicality, Tempo & Style",10
870001,51295,Tuba,Chromatic Scale,Chromatic Scale,9
870002,51295,Tuba,Major Scales,G,6
870003,51295,Tuba,Major Scales,C,5
870004,51295,Tuba,Major Scales,F,5
870005,51295,Tuba,Major Scales,Bb,6
870006,51295,Tuba,Major Scales,Eb,7
870007,51295,Tuba,Major Scales,Ab,6
870008,51295,Tuba,Major Scales,Db,5
870009,51295,Tuba,Sight-Reading,Tone Quality,5
870010,51295,Tuba,Sight-Reading,Note Accuracy,4
870011,51295,Tuba,Sight-Reading,Rhythmic Accuracy,5
870012,51295,Tuba,Sight-Reading,"Musicallity, Tempo & Style",3
856398,51298,French Horn,Lyrical Etude,Tone Quality,16
856399,51298,French Horn,Lyrical Etude,Note Accuracy,6
856400,51298,French Horn,Lyrical Etude,Rhythmic Accuracy,9
856401,51298,French Horn,Lyrical Etude,"Musicallity, Tempo & Style",15
856402,51298,French Horn,Technical Etude,Tone Quality,17
856403,51298,French Horn,Technical Etude,Note Accuracy,7
856404,51298,French Horn,Technical Etude,Rhythmic Accuracy,9
856405,51298,French Horn,Technical Etude,"Musicality, Tempo & Style",17
856406,51298,French Horn,Chromatic Scale,Chromatic Scale,13
856407,51298,French Horn,Major Scales,G,9
856408,51298,French Horn,Major Scales,C,8
856409,51298,French Horn,Major Scales,F,7
856410,51298,French Horn,Major Scales,Bb,10
856411,51298,French Horn,Major Scales,Eb,8
856412,51298,French Horn,Major Scales,Ab,9
856413,51298,French Horn,Major Scales,Db,9
856439,51298,French Horn,Sight-Reading,Tone Quality,7
856440,51298,French Horn,Sight-Reading,Note Accuracy,5
856441,51298,French Horn,Sight-Reading,Rhythmic Accuracy,6
856442,51298,French Horn,Sight-Reading,"Musicallity, Tempo & Style",6
936013,51299,Piccolo,Technical Etude,Tone Quality,13
938564,51299,Piccolo,Technical Etude,Note Accuracy,8
938565,51299,Piccolo,Technical Etude,Rhythmic Accuracy,8
936077,51299,Piccolo,Technical Etude,"Musicality, Tempo & Style",13
935967,51299,Piccolo,Chromatic Scale,Chromatic Scale,9
860147,51300,Flute,Lyrical Etude,Tone Quality,15
860148,51300,Flute,Lyrical Etude,Note Accuracy,10
860149,51300,Flute,Lyrical Etude,Rhythmic Accuracy,8
860150,51300,Flute,Lyrical Etude,"Musicallity, Tempo & Style",15
860164,51300,Flute,Technical Etude,Tone Quality,16
860165,51300,Flute,Technical Etude,Note Accuracy,10
860166,51300,Flute,Technical Etude,Rhythmic Accuracy,9
860167,51300,Flute,Technical Etude,"Musicality, Tempo & Style",12
860168,51300,Flute,Chromatic Scale,Chromatic Scale,10
860169,51300,Flute,Major Scales,G,8
860170,51300,Flute,Major Scales,C,12
860171,51300,Flute,Major Scales,F,8
860172,51300,Flute,Major Scales,Bb,9
860173,51300,Flute,Major Scales,Eb,9
860174,51300,Flute,Major Scales,Ab,7
860175,51300,Flute,Major Scales,Db,8
860176,51300,Flute,Sight-Reading,Tone Quality,7
860177,51300,Flute,Sight-Reading,Note Accuracy,8
860178,51300,Flute,Sight-Reading,Rhythmic Accuracy,6
860179,51300,Flute,Sight-Reading,"Musicallity, Tempo & Style",3
885756,51319,Alto Saxophone,Lyrical Etude,Tone Quality,8
885757,51319,Alto Saxophone,Lyrical Etude,Note Accuracy,9
885758,51319,Alto Saxophone,Lyrical Etude,Rhythmic Accuracy,9
885759,51319,Alto Saxophone,Lyrical Etude,"Musicallity, Tempo & Style",8
885760,51319,Alto Saxophone,Technical Etude,Tone Quality,9
885761,51319,Alto Saxophone,Technical Etude,Note Accuracy,10
885762,51319,Alto Saxophone,Technical Etude,Rhythmic Accuracy,9
885763,51319,Alto Saxophone,Technical Etude,"Musicality, Tempo & Style",10
885764,51319,Alto Saxophone,Chromatic Scale,Chromatic Scale,12
885765,51319,Alto Saxophone,Major Scales,G,8
885766,51319,Alto Saxophone,Major Scales,C,5
885767,51319,Alto Saxophone,Major Scales,F,7
885768,51319,Alto Saxophone,Major Scales,Bb,4
885769,51319,Alto Saxophone,Major Scales,Eb,8
885770,51319,Alto Saxophone,Major Scales,Ab,8
885771,51319,Alto Saxophone,Major Scales,Db,7
885772,51319,Alto Saxophone,Sight-Reading,Tone Quality,6
885773,51319,Alto Saxophone,Sight-Reading,Note Accuracy,8
885774,51319,Alto Saxophone,Sight-Reading,Rhythmic Accuracy,5
885775,51319,Alto Saxophone,Sight-Reading,"Musicallity, Tempo & Style",3
864269,51323,Euphonium,Lyrical Etude,Tone Quality,11
864270,51323,Euphonium,Lyrical Etude,Note Accuracy,7
864271,51323,Euphonium,Lyrical Etude,Rhythmic Accuracy,7
864272,51323,Euphonium,Lyrical Etude,"Musicallity, Tempo & Style",9
864273,51323,Euphonium,Technical Etude,Tone Quality,10
864274,51323,Euphonium,Technical Etude,Note Accuracy,7
864275,51323,Euphonium,Technical Etude,Rhythmic Accuracy,6
864276,51323,Euphonium,Technical Etude,"Musicality, Tempo & Style",9
864277,51323,Euphonium,Chromatic Scale,Chromatic Scale,8
864278,51323,Euphonium,Major Scales,G,6
864279,51323,Euphonium,Major Scales,C,3
864280,51323,Euphonium,Major Scales,F,6
864281,51323,Euphonium,Major Scales,Bb,3
864282,51323,Euphonium,Major Scales,Eb,6
864283,51323,Euphonium,Major Scales,Ab,5
864284,51323,Euphonium,Major Scales,Db,3
864285,51323,Euphonium,Sight-Reading,Tone Quality,5
864286,51323,Euphonium,Sight-Reading,Note Accuracy,6
864287,51323,Euphonium,Sight-Reading,Rhythmic Accuracy,6
864288,51323,Euphonium,Sight-Reading,"Musicallity, Tempo & Style",3
860193,51335,Flute,Lyrical Etude,Tone Quality,12
860194,51335,Flute,Lyrical Etude,Note Accuracy,10
860195,51335,Flute,Lyrical Etude,Rhythmic Accuracy,10
860196,51335,Flute,Lyrical Etude,"Musicallity, Tempo & Style",8
860210,51335,Flute,Technical Etude,Tone Quality,13
860211,51335,Flute,Technical Etude,Note Accuracy,8
860212,51335,Flute,Technical Etude,Rhythmic Accuracy,10
860213,51335,Flute,Technical Etude,"Musicality, Tempo & Style",13
860214,51335,Flute,Chromatic Scale,Chromatic Scale,11
860215,51335,Flute,Major Scales,G,7
860216,51335,Flute,Major Scales,C,6
860217,51335,Flute,Major Scales,F,7
860218,51335,Flute,Major Scales,Bb,7
860219,51335,Flute,Major Scales,Eb,3
860220,51335,Flute,Major Scales,Ab,6
860221,51335,Flute,Major Scales,Db,6
860222,51335,Flute,Sight-Reading,Tone Quality,4
860223,51335,Flute,Sight-Reading,Note Accuracy,7
860224,51335,Flute,Sight-Reading,Rhythmic Accuracy,5
860225,51335,Flute,Sight-Reading,"Musicallity, Tempo & Style",3
855811,51336,Bb Clarinet,Lyrical Etude,Tone Quality,15
855812,51336,Bb Clarinet,Lyrical Etude,Note Accuracy,10
855813,51336,Bb Clarinet,Lyrical Etude,Rhythmic Accuracy,10
855814,51336,Bb Clarinet,Lyrical Etude,"Musicallity, Tempo & Style",18
855815,51336,Bb Clarinet,Technical Etude,Tone Quality,16
855816,51336,Bb Clarinet,Technical Etude,Note Accuracy,10
855817,51336,Bb Clarinet,Technical Etude,Rhythmic Accuracy,10
855818,51336,Bb Clarinet,Technical Etude,"Musicality, Tempo & Style",18
854426,51336,Bb Clarinet,Chromatic Scale,Chromatic Scale,15
854427,51336,Bb Clarinet,Major Scales,G,10
854428,51336,Bb Clarinet,Major Scales,C,10
854429,51336,Bb Clarinet,Major Scales,F,15
854430,51336,Bb Clarinet,Major Scales,Bb,10
854431,51336,Bb Clarinet,Major Scales,Eb,15
854432,51336,Bb Clarinet,Major Scales,Ab,10
854433,51336,Bb Clarinet,Major Scales,Db,10
854434,51336,Bb Clarinet,Sight-Reading,Tone Quality,8
854435,51336,Bb Clarinet,Sight-Reading,Note Accuracy,9
854436,51336,Bb Clarinet,Sight-Reading,Rhythmic Accuracy,7
854437,51336,Bb Clarinet,Sight-Reading,"Musicallity, Tempo & Style",7
860239,51337,Flute,Lyrical Etude,Tone Quality,8
860240,51337,Flute,Lyrical Etude,Note Accuracy,9
860241,51337,Flute,Lyrical Etude,Rhythmic Accuracy,7
860242,51337,Flute,Lyrical Etude,"Musicallity, Tempo & Style",6
860256,51337,Flute,Technical Etude,Tone Quality,8
860257,51337,Flute,Technical Etude,Note Accuracy,10
860258,51337,Flute,Technical Etude,Rhythmic Accuracy,8
860259,51337,Flute,Technical Etude,"Musicality, Tempo & Style",5
860312,51337,Flute,Chromatic Scale,Chromatic Scale,5
860313,51337,Flute,Major Scales,G,7
860314,51337,Flute,Major Scales,C,9
860315,51337,Flute,Major Scales,F,6
860316,51337,Flute,Major Scales,Bb,6
860317,51337,Flute,Major Scales,Eb,6
860331,51337,Flute,Major Scales,Ab,5
860332,51337,Flute,Major Scales,Db,6
860333,51337,Flute,Sight-Reading,Tone Quality,6
860334,51337,Flute,Sight-Reading,Note Accuracy,8
860335,51337,Flute,Sight-Reading,Rhythmic Accuracy,4
860336,51337,Flute,Sight-Reading,"Musicallity, Tempo & Style",3
854281,51338,Oboe,Lyrical Etude,Tone Quality,2
