ScoreID,Student,Instrument,ScoreGroup,Description,Score,MaxScore,NormalizedScore
845498,51268,Trombone,Lyrical Etude,Tone Quality,15,20.0,0.75
845499,51268,Trombone,Lyrical Etude,Note Accuracy,8,10.0,0.8
845500,51268,Trombone,Lyrical Etude,Rhythmic Accuracy,7,10.0,0.7
845501,51268,Trombone,Lyrical Etude,"Musicality, Tempo, & Style",12,20.0,0.6
845502,51268,Trombone,Technical Etude,Tone Quality,13,20.0,0.65
845503,51268,Trombone,Technical Etude,Note Accuracy,7,10.0,0.7
845504,51268,Trombone,Technical Etude,Rhythmic Accuracy,8,10.0,0.8
845505,51268,Trombone,Technical Etude,"Musicality, Tempo, & Style",13,20.0,0.65
845506,51268,Trombone,Chromatic Scale,Chromatic Scale,12,15.0,0.8
845507,51268,Trombone,Major Scales,G,6,15.0,0.4
845508,51268,Trombone,Major Scales,C,4,15.0,0.26666666666666666
845509,51268,Trombone,Major Scales,F,7,15.0,0.4666666666666667
845510,51268,Trombone,Major Scales,Bb,4,15.0,0.26666666666666666
845511,51268,Trombone,Major Scales,Eb,4,15.0,0.26666666666666666
845512,51268,Trombone,Major Scales,Ab,4,15.0,0.26666666666666666
845513,51268,Trombone,Major Scales,Db,3,15.0,0.2
845514,51268,Trombone,Sight-Reading,Tone Quality,7,10.0,0.7
845515,51268,Trombone,Sight-Reading,Note Accuracy,6,10.0,0.6
845516,51268,Trombone,Sight-Reading,Rhythmic Accuracy,6,10.0,0.6
845517,51268,Trombone,Sight-Reading,"Musicality, Tempo, & Style",4,10.0,0.4
869993,51295,Tuba,Lyrical Etude,Tone Quality,10,20.0,0.5
869994,51295,Tuba,Lyrical Etude,Note Accuracy,7,10.0,0.7
869995,51295,Tuba,Lyrical Etude,Rhythmic Accuracy,7,10.0,0.7
869996,51295,Tuba,Lyrical Etude,"Musicality, Tempo, & Style",11,20.0,0.55
869997,51295,Tuba,Technical Etude,Tone Quality,9,20.0,0.45
869998,51295,Tuba,Technical Etude,Note Accuracy,7,10.0,0.7
869999,51295,Tuba,Technical Etude,Rhythmic Accuracy,7,10.0,0.7
870000,51295,Tuba,Technical Etude,"Musicality, Tempo, & Style",10,20.0,0.5
870001,51295,Tuba,Chromatic Scale,Chromatic Scale,9,15.0,0.6
870002,51295,Tuba,Major Scales,G,6,15.0,0.4
870003,51295,Tuba,Major Scales,C,5,15.0,0.3333333333333333
