ScoreID,Student,Instrument,ScoreGroup,Description,Score
910434,51269,Bb Clarinet,Lyrical Etude,Tone Quality,5
910435,51269,Bb Clarinet,Lyrical Etude,Note Accuracy,10
910436,51269,Bb Clarinet,Lyrical Etude,Rhythmic Accuracy,5
910437,51269,Bb Clarinet,Lyrical Etude,"Musicallity, Tempo & Style",5
910438,51269,Bb Clarinet,Technical Etude,Tone Quality,5
910439,51269,Bb Clarinet,Technical Etude,Note Accuracy,5
910440,51269,Bb Clarinet,Technical Etude,Rhythmic Accuracy,5
910441,51269,Bb Clarinet,Technical Etude,"Musicallity, Tempo & Style",5
910442,51269,Bb Clarinet,Chromatic Scale,Chromatic Scale,5
910443,51269,Bb Clarinet,Major Scales,G,5
910444,51269,Bb Clarinet,Major Scales,Ab,5
910445,51269,Bb Clarinet,Major Scales,A,5
910446,51269,Bb Clarinet,Major Scales,Bb,5
910447,51269,Bb Clarinet,Major Scales,B,5
910448,51269,Bb Clarinet,Major Scales,C,5
910449,51269,Bb Clarinet,Major Scales,Db,5
910450,51269,Bb Clarinet,Major Scales,D,5
910451,51269,Bb Clarinet,Major Scales,Eb,5
910452,51269,Bb Clarinet,Major Scales,E,5
910453,51269,Bb Clarinet,Major Scales,F,5
910454,51269,Bb Clarinet,Major Scales,Gb,5
910455,51269,Bb Clarinet,Sight-Reading,Tone Quality,5
910456,51269,Bb Clarinet,Sight-Reading,Note Accuracy,10
910457,51269,Bb Clarinet,Sight-Reading,Rhythmic Accuracy,5
910458,51269,Bb Clarinet,Sight-Reading,"Musicallity, Tempo & Style",5
910462,51270,Bb Clarinet,Lyrical Etude,Tone Quality,10
910463,51270,Bb Clarinet,Lyrical Etude,Note Accuracy,10
910464,51270,Bb Clarinet,Lyrical Etude,Rhythmic Accuracy,8
910465,51270,Bb Clarinet,Lyrical Etude,"Musicallity, Tempo & Style",15
910466,51270,Bb Clarinet,Technical Etude,Tone Quality,5
910467,51270,Bb Clarinet,Technical Etude,Note Accuracy,5
910468,51270,Bb Clarinet,Technical Etude,Rhythmic Accuracy,5
910469,51270,Bb Clarinet,Technical Etude,"Musicallity, Tempo & Style",5
910470,51270,Bb Clarinet,Chromatic Scale,Chromatic Scale,10
910471,51270,Bb Clarinet,Major Scales,G,10
910472,51270,Bb Clarinet,Major Scales,Ab,8
910473,51270,Bb Clarinet,Major Scales,A,10
910474,51270,Bb Clarinet,Major Scales,Bb,10
910475,51270,Bb Clarinet,Major Scales,B,5
910476,51270,Bb Clarinet,Major Scales,C,5
910477,51270,Bb Clarinet,Major Scales,Db,5
910478,51270,Bb Clarinet,Major Scales,D,5
910479,51270,Bb Clarinet,Major Scales,Eb,5
910480,51270,Bb Clarinet,Major Scales,E,5
910481,51270,Bb Clarinet,Major Scales,F,5
910482,51270,Bb Clarinet,Major Scales,Gb,5
910483,51270,Bb Clarinet,Sight-Reading,Tone Quality,1
910484,51270,Bb Clarinet,Sight-Reading,Note Accuracy,1
910485,51270,Bb Clarinet,Sight-Reading,Rhythmic Accuracy,1
910486,51270,Bb Clarinet,Sight-Reading,"Musicallity, Tempo & Style",1
861504,51272,Flute,Lyrical Etude,Tone Quality,12
861505,51272,Flute,Lyrical Etude,Note Accuracy,9
861506,51272,Flute,Lyrical Etude,Rhythmic Accuracy,9
861507,51272,Flute,Lyrical Etude,"Musicallity, Tempo & Style",14
861508,51272,Flute,Technical Etude,Tone Quality,12
861509,51272,Flute,Technical Etude,Note Accuracy,7
861510,51272,Flute,Technical Etude,Rhythmic Accuracy,6
861511,51272,Flute,Technical Etude,"Musicallity, Tempo & Style",15
861512,51272,Flute,Chromatic Scale,Chromatic Scale,12
861513,51272,Flute,Major Scales,G,9
861514,51272,Flute,Major Scales,Ab,9
861515,51272,Flute,Major Scales,A,9
861516,51272,Flute,Major Scales,Bb,9
861517,51272,Flute,Major Scales,B,9
861518,51272,Flute,Major Scales,C,10
861519,51272,Flute,Major Scales,Db,10
861520,51272,Flute,Major Scales,D,9
861521,51272,Flute,Major Scales,Eb,9
861522,51272,Flute,Major Scales,E,9
861523,51272,Flute,Major Scales,F,9
861524,51272,Flute,Major Scales,Gb,9
861525,51272,Flute,Sight-Reading,Tone Quality,8
861526,51272,Flute,Sight-Reading,Note Accuracy,7
861527,51272,Flute,Sight-Reading,Rhythmic Accuracy,7
861528,51272,Flute,Sight-Reading,"Musicallity, Tempo & Style",7
888059,51276,Oboe,Lyrical Etude,Tone Quality,10
888060,51276,Oboe,Lyrical Etude,Note Accuracy,3
888061,51276,Oboe,Lyrical Etude,Rhythmic Accuracy,2
888062,51276,Oboe,Lyrical Etude,"Musicallity, Tempo & Style",4
888063,51276,Oboe,Technical Etude,Tone Quality,8
888064,51276,Oboe,Technical Etude,Note Accuracy,2
888065,51276,Oboe,Technical Etude,Rhythmic Accuracy,3
888066,51276,Oboe,Technical Etude,"Musicallity, Tempo & Style",3
888067,51276,Oboe,Chromatic Scale,Chromatic Scale,5
888068,51276,Oboe,Major Scales,G,4
888069,51276,Oboe,Major Scales,Ab,4
888070,51276,Oboe,Major Scales,A,0
888071,51276,Oboe,Major Scales,Bb,6
888072,51276,Oboe,Major Scales,B,0
888073,51276,Oboe,Major Scales,C,6
888074,51276,Oboe,Major Scales,Db,0
888075,51276,Oboe,Major Scales,D,3
888076,51276,Oboe,Major Scales,Eb,3
888077,51276,Oboe,Major Scales,E,0
888078,51276,Oboe,Major Scales,F,2
888079,51276,Oboe,Major Scales,Gb,2
888080,51276,Oboe,Sight-Reading,Tone Quality,3
888081,51276,Oboe,Sight-Reading,Note Accuracy,3
888082,51276,Oboe,Sight-Reading,Rhythmic Accuracy,2
888083,51276,Oboe,Sight-Reading,"Musicallity, Tempo & Style",2
857828,51277,Percussion,Mallet Etude,Note Accuracy & Tone,6
857829,51277,Percussion,Mallet Etude,Rhythmic Accuracy,7
857830,51277,Percussion,Mallet Etude,"Musicality, Tempo & Style",8
851883,51277,Percussion,Snare Etude,Rudimental Accuracy,5
851884,51277,Percussion,Snare Etude,Rhythmic Accuracy,6
851885,51277,Percussion,Snare Etude,"Musicality, Tempo & Style",8
857831,51277,Percussion,Timpani Etude,Tuning Accuracy,6
857832,51277,Percussion,Timpani Etude,Rhythmic Accuracy,6
857833,51277,Percussion,Timpani Etude,"Musicality, Tempo, & Style",10
851886,51277,Percussion,Chromatic Scale,Chromatic Scale,5
851887,51277,Percussion,Major Scales,G,6
851888,51277,Percussion,Major Scales,Ab,5
851889,51277,Percussion,Major Scales,A,5
851890,51277,Percussion,Major Scales,Bb,5
851891,51277,Percussion,Major Scales,B,6
851892,51277,Percussion,Major Scales,C,4
851893,51277,Percussion,Major Scales,Db,4
851894,51277,Percussion,Major Scales,D,6
851895,51277,Percussion,Major Scales,Eb,5
851896,51277,Percussion,Major Scales,E,4
851897,51277,Percussion,Major Scales,F,4
851898,51277,Percussion,Major Scales,Gb,4
851899,51277,Percussion,Reading-Mallet,Note Accuracy & Tone,5
851900,51277,Percussion,Reading-Mallet,Rhythmic Accuracy & Articulation,7
851901,51277,Percussion,Reading-Mallet,Musicality & Style,5
851902,51277,Percussion,Reading-Snare,Note Accuracy & Tone,5
851903,51277,Percussion,Reading-Snare,Rhythmic Accuracy & Articulation,5
851904,51277,Percussion,Reading-Snare,Musicality & Style,6
859447,51278,Euphonium,Lyrical Etude,Tone Quality,10
859448,51278,Euphonium,Lyrical Etude,Note Accuracy,9
859449,51278,Euphonium,Lyrical Etude,Rhythmic Accuracy,9
859450,51278,Euphonium,Lyrical Etude,"Musicallity, Tempo & Style",8
859451,51278,Euphonium,Technical Etude,Tone Quality,11
859452,51278,Euphonium,Technical Etude,Note Accuracy,9
859453,51278,Euphonium,Technical Etude,Rhythmic Accuracy,10
859454,51278,Euphonium,Technical Etude,"Musicallity, Tempo & Style",8
859455,51278,Euphonium,Chromatic Scale,Chromatic Scale,9
859456,51278,Euphonium,Major Scales,G,7
859457,51278,Euphonium,Major Scales,Ab,6
859458,51278,Euphonium,Major Scales,A,8
859459,51278,Euphonium,Major Scales,Bb,9
859460,51278,Euphonium,Major Scales,B,6
859461,51278,Euphonium,Major Scales,C,7
859462,51278,Euphonium,Major Scales,Db,7
859463,51278,Euphonium,Major Scales,D,6
859464,51278,Euphonium,Major Scales,Eb,8
859465,51278,Euphonium,Major Scales,E,7
859466,51278,Euphonium,Major Scales,F,8
859467,51278,Euphonium,Major Scales,Gb,6
859468,51278,Euphonium,Sight-Reading,Tone Quality,5
859469,51278,Euphonium,Sight-Reading,Note Accuracy,5
859470,51278,Euphonium,Sight-Reading,Rhythmic Accuracy,6
859471,51278,Euphonium,Sight-Reading,"Musicallity, Tempo & Style",4
873337,51279,Trombone,Lyrical Etude,Tone Quality,12
873338,51279,Trombone,Lyrical Etude,Note Accuracy,5
873339,51279,Trombone,Lyrical Etude,Rhythmic Accuracy,6
873340,51279,Trombone,Lyrical Etude,"Musicallity, Tempo & Style",11
873341,51279,Trombone,Technical Etude,Tone Quality,11
873342,51279,Trombone,Technical Etude,Note Accuracy,4
873343,51279,Trombone,Technical Etude,Rhythmic Accuracy,3
873344,51279,Trombone,Technical Etude,"Musicallity, Tempo & Style",8
873345,51279,Trombone,Chromatic Scale,Chromatic Scale,9
873346,51279,Trombone,Major Scales,G,5
873347,51279,Trombone,Major Scales,Ab,7
873348,51279,Trombone,Major Scales,A,5
873349,51279,Trombone,Major Scales,Bb,7
873350,51279,Trombone,Major Scales,B,3
873351,51279,Trombone,Major Scales,C,4
