ScoreID,Student,Instrument,ScoreGroup,Description,Score,RecordingPath,MaxScore,NormalizedScore
1120915,61803,Tuba,Lyrical Etude,Tone Quality,9,~/AudioFiles/2016-2017/AllStateAuditions/61803.mp3,20.0,0.45
1120916,61803,Tuba,Lyrical Etude,Note Accuracy,7,~/AudioFiles/2016-2017/AllStateAuditions/61803.mp3,10.0,0.7
1120917,61803,Tuba,Lyrical Etude,Rhythmic Accuracy,7,~/AudioFiles/2016-2017/AllStateAuditions/61803.mp3,10.0,0.7
1120918,61803,Tuba,Lyrical Etude,"Musicality, Tempo, & Style",9,~/AudioFiles/2016-2017/AllStateAuditions/61803.mp3,20.0,0.45
1120919,61803,Tuba,Technical Etude,Tone Quality,10,~/AudioFiles/2016-2017/AllStateAuditions/61803.mp3,20.0,0.5
1120920,61803,Tuba,Technical Etude,Note Accuracy,7,~/AudioFiles/2016-2017/AllStateAuditions/61803.mp3,10.0,0.7
1120921,61803,Tuba,Technical Etude,Rhythmic Accuracy,7,~/AudioFiles/2016-2017/AllStateAuditions/61803.mp3,10.0,0.7
1120922,61803,Tuba,Technical Etude,"Musicality, Tempo, & Style",12,~/AudioFiles/2016-2017/AllStateAuditions/61803.mp3,20.0,0.6
1120923,61803,Tuba,Chromatic Scale,Chromatic Scale,7,~/AudioFiles/2016-2017/AllStateAuditions/61803.mp3,15.0,0.4666666666666667
1120924,61803,Tuba,Major Scales,G,3,~/AudioFiles/2016-2017/AllStateAuditions/61803.mp3,15.0,0.2
1120925,61803,Tuba,Major Scales,C,3,~/AudioFiles/2016-2017/AllStateAuditions/61803.mp3,15.0,0.2
1120926,61803,Tuba,Major Scales,F,6,~/AudioFiles/2016-2017/AllStateAuditions/61803.mp3,15.0,0.4
1120927,61803,Tuba,Major Scales,Bb,4,~/AudioFiles/2016-2017/AllStateAuditions/61803.mp3,15.0,0.26666666666666666
1120928,61803,Tuba,Major Scales,Eb,3,~/AudioFiles/2016-2017/AllStateAuditions/61803.mp3,15.0,0.2
1120929,61803,Tuba,Major Scales,Ab,3,~/AudioFiles/2016-2017/AllStateAuditions/61803.mp3,15.0,0.2
1120930,61803,Tuba,Major Scales,Db,3,~/AudioFiles/2016-2017/AllStateAuditions/61803.mp3,15.0,0.2
1120931,61803,Tuba,Sight-Reading,Tone Quality,5,~/AudioFiles/2016-2017/AllStateAuditions/61803.mp3,10.0,0.5
1120932,61803,Tuba,Sight-Reading,Note Accuracy,6,~/AudioFiles/2016-2017/AllStateAuditions/61803.mp3,10.0,0.6
1120933,61803,Tuba,Sight-Reading,Rhythmic Accuracy,6,~/AudioFiles/2016-2017/AllStateAuditions/61803.mp3,10.0,0.6
1120934,61803,Tuba,Sight-Reading,"Musicality, Tempo, & Style",5,~/AudioFiles/2016-2017/AllStateAuditions/61803.mp3,10.0,0.5
1053862,61805,Trombone,Lyrical Etude,Tone Quality,10,~/AudioFiles/2016-2017/AllStateAuditions/61805.mp3,20.0,0.5
1053863,61805,Trombone,Lyrical Etude,Note Accuracy,9,~/AudioFiles/2016-2017/AllStateAuditions/61805.mp3,10.0,0.9
1053864,61805,Trombone,Lyrical Etude,Rhythmic Accuracy,7,~/AudioFiles/2016-2017/AllStateAuditions/61805.mp3,10.0,0.7
1053865,61805,Trombone,Lyrical Etude,"Musicality, Tempo, & Style",10,~/AudioFiles/2016-2017/AllStateAuditions/61805.mp3,20.0,0.5
1053866,61805,Trombone,Technical Etude,Tone Quality,10,~/AudioFiles/2016-2017/AllStateAuditions/61805.mp3,20.0,0.5
1053867,61805,Trombone,Technical Etude,Note Accuracy,9,~/AudioFiles/2016-2017/AllStateAuditions/61805.mp3,10.0,0.9
1055523,61805,Trombone,Technical Etude,Rhythmic Accuracy,8,~/AudioFiles/2016-2017/AllStateAuditions/61805.mp3,10.0,0.8
1055524,61805,Trombone,Technical Etude,"Musicality, Tempo, & Style",10,~/AudioFiles/2016-2017/AllStateAuditions/61805.mp3,20.0,0.5
1055525,61805,Trombone,Chromatic Scale,Chromatic Scale,8,~/AudioFiles/2016-2017/AllStateAuditions/61805.mp3,15.0,0.5333333333333333
1055526,61805,Trombone,Major Scales,G,6,~/AudioFiles/2016-2017/AllStateAuditions/61805.mp3,15.0,0.4
1055527,61805,Trombone,Major Scales,C,3,~/AudioFiles/2016-2017/AllStateAuditions/61805.mp3,15.0,0.2
1055528,61805,Trombone,Major Scales,F,6,~/AudioFiles/2016-2017/AllStateAuditions/61805.mp3,15.0,0.4
1055529,61805,Trombone,Major Scales,Bb,3,~/AudioFiles/2016-2017/AllStateAuditions/61805.mp3,15.0,0.2
1055530,61805,Trombone,Major Scales,Eb,3,~/AudioFiles/2016-2017/AllStateAuditions/61805.mp3,15.0,0.2
1055531,61805,Trombone,Major Scales,Ab,7,~/AudioFiles/2016-2017/AllStateAuditions/61805.mp3,15.0,0.4666666666666667
1055532,61805,Trombone,Major Scales,Db,3,~/AudioFiles/2016-2017/AllStateAuditions/61805.mp3,15.0,0.2
1055550,61805,Trombone,Sight-Reading,Tone Quality,5,~/AudioFiles/2016-2017/AllStateAuditions/61805.mp3,10.0,0.5
1055551,61805,Trombone,Sight-Reading,Note Accuracy,4,~/AudioFiles/2016-2017/AllStateAuditions/61805.mp3,10.0,0.4
1055552,61805,Trombone,Sight-Reading,Rhythmic Accuracy,4,~/AudioFiles/2016-2017/AllStateAuditions/61805.mp3,10.0,0.4
1055553,61805,Trombone,Sight-Reading,"Musicality, Tempo, & Style",3,~/AudioFiles/2016-2017/AllStateAuditions/61805.mp3,10.0,0.3
1086917,61807,French Horn,Lyrical Etude,Tone Quality,10,~/AudioFiles/2016-2017/AllStateAuditions/61807.mp3,20.0,0.5
1086918,61807,French Horn,Lyrical Etude,Note Accuracy,4,~/AudioFiles/2016-2017/AllStateAuditions/61807.mp3,10.0,0.4
1086919,61807,French Horn,Lyrical Etude,Rhythmic Accuracy,6,~/AudioFiles/2016-2017/AllStateAuditions/61807.mp3,10.0,0.6
1086920,61807,French Horn,Lyrical Etude,"Musicality, Tempo, & Style",7,~/AudioFiles/2016-2017/AllStateAuditions/61807.mp3,20.0,0.35
1086921,61807,French Horn,Technical Etude,Tone Quality,9,~/AudioFiles/2016-2017/AllStateAuditions/61807.mp3,20.0,0.45
1086922,61807,French Horn,Technical Etude,Note Accuracy,3,~/AudioFiles/2016-2017/AllStateAuditions/61807.mp3,10.0,0.3
1086923,61807,French Horn,Technical Etude,Rhythmic Accuracy,5,~/AudioFiles/2016-2017/AllStateAuditions/61807.mp3,10.0,0.5
1086924,61807,French Horn,Technical Etude,"Musicality, Tempo, & Style",7,~/AudioFiles/2016-2017/AllStateAuditions/61807.mp3,20.0,0.35
1086925,61807,French Horn,Chromatic Scale,Chromatic Scale,8,~/AudioFiles/2016-2017/AllStateAuditions/61807.mp3,15.0,0.5333333333333333
1086926,61807,French Horn,Major Scales,G,3,~/AudioFiles/2016-2017/AllStateAuditions/61807.mp3,15.0,0.2
1086927,61807,French Horn,Major Scales,C,5,~/AudioFiles/2016-2017/AllStateAuditions/61807.mp3,15.0,0.3333333333333333
1086928,61807,French Horn,Major Scales,F,5,~/AudioFiles/2016-2017/AllStateAuditions/61807.mp3,15.0,0.3333333333333333
1086929,61807,French Horn,Major Scales,Bb,13,~/AudioFiles/2016-2017/AllStateAuditions/61807.mp3,15.0,0.8666666666666667
1086930,61807,French Horn,Major Scales,Eb,2,~/AudioFiles/2016-2017/AllStateAuditions/61807.mp3,15.0,0.13333333333333333
1086931,61807,French Horn,Major Scales,Ab,2,~/AudioFiles/2016-2017/AllStateAuditions/61807.mp3,15.0,0.13333333333333333
1086932,61807,French Horn,Major Scales,Db,2,~/AudioFiles/2016-2017/AllStateAuditions/61807.mp3,15.0,0.13333333333333333
1086933,61807,French Horn,Sight-Reading,Tone Quality,4,~/AudioFiles/2016-2017/AllStateAuditions/61807.mp3,10.0,0.4
1086934,61807,French Horn,Sight-Reading,Note Accuracy,2,~/AudioFiles/2016-2017/AllStateAuditions/61807.mp3,10.0,0.2
1086935,61807,French Horn,Sight-Reading,Rhythmic Accuracy,2,~/AudioFiles/2016-2017/AllStateAuditions/61807.mp3,10.0,0.2
1086936,61807,French Horn,Sight-Reading,"Musicality, Tempo, & Style",3,~/AudioFiles/2016-2017/AllStateAuditions/61807.mp3,10.0,0.3
1058018,61809,Trumpet,Lyrical Etude,Tone Quality,6,~/AudioFiles/2016-2017/AllStateAuditions/61809.mp3,20.0,0.3
1058019,61809,Trumpet,Lyrical Etude,Note Accuracy,9,~/AudioFiles/2016-2017/AllStateAuditions/61809.mp3,10.0,0.9
1058020,61809,Trumpet,Lyrical Etude,Rhythmic Accuracy,9,~/AudioFiles/2016-2017/AllStateAuditions/61809.mp3,10.0,0.9
1058021,61809,Trumpet,Lyrical Etude,"Musicality, Tempo, & Style",6,~/AudioFiles/2016-2017/AllStateAuditions/61809.mp3,20.0,0.3
1058022,61809,Trumpet,Technical Etude,Tone Quality,5,~/AudioFiles/2016-2017/AllStateAuditions/61809.mp3,20.0,0.25
1058023,61809,Trumpet,Technical Etude,Note Accuracy,6,~/AudioFiles/2016-2017/AllStateAuditions/61809.mp3,10.0,0.6
1058024,61809,Trumpet,Technical Etude,Rhythmic Accuracy,6,~/AudioFiles/2016-2017/AllStateAuditions/61809.mp3,10.0,0.6
1058025,61809,Trumpet,Technical Etude,"Musicality, Tempo, & Style",5,~/AudioFiles/2016-2017/AllStateAuditions/61809.mp3,20.0,0.25
1058026,61809,Trumpet,Chromatic Scale,Chromatic Scale,4,~/AudioFiles/2016-2017/AllStateAuditions/61809.mp3,15.0,0.26666666666666666
1058027,61809,Trumpet,Major Scales,G,3,~/AudioFiles/2016-2017/AllStateAuditions/61809.mp3,15.0,0.2
1058028,61809,Trumpet,Major Scales,C,2,~/AudioFiles/2016-2017/AllStateAuditions/61809.mp3,15.0,0.13333333333333333
1058029,61809,Trumpet,Major Scales,F,4,~/AudioFiles/2016-2017/AllStateAuditions/61809.mp3,15.0,0.26666666666666666
1058030,61809,Trumpet,Major Scales,Bb,4,~/AudioFiles/2016-2017/AllStateAuditions/61809.mp3,15.0,0.26666666666666666
1058031,61809,Trumpet,Major Scales,Eb,4,~/AudioFiles/2016-2017/AllStateAuditions/61809.mp3,15.0,0.26666666666666666
1058032,61809,Trumpet,Major Scales,Ab,4,~/AudioFiles/2016-2017/AllStateAuditions/61809.mp3,15.0,0.26666666666666666
1058033,61809,Trumpet,Major Scales,Db,4,~/AudioFiles/2016-2017/AllStateAuditions/61809.mp3,15.0,0.26666666666666666
1058034,61809,Trumpet,Sight-Reading,Tone Quality,3,~/AudioFiles/2016-2017/AllStateAuditions/61809.mp3,10.0,0.3
1058035,61809,Trumpet,Sight-Reading,Note Accuracy,2,~/AudioFiles/2016-2017/AllStateAuditions/61809.mp3,10.0,0.2
1058036,61809,Trumpet,Sight-Reading,Rhythmic Accuracy,1,~/AudioFiles/2016-2017/AllStateAuditions/61809.mp3,10.0,0.1
1058037,61809,Trumpet,Sight-Reading,"Musicality, Tempo, & Style",1,~/AudioFiles/2016-2017/AllStateAuditions/61809.mp3,10.0,0.1
1076267,61810,Alto Saxophone,Lyrical Etude,Tone Quality,6,~/AudioFiles/2016-2017/AllStateAuditions/61810.mp3,20.0,0.3
1076268,61810,Alto Saxophone,Lyrical Etude,Note Accuracy,9,~/AudioFiles/2016-2017/AllStateAuditions/61810.mp3,10.0,0.9
1076269,61810,Alto Saxophone,Lyrical Etude,Rhythmic Accuracy,4,~/AudioFiles/2016-2017/AllStateAuditions/61810.mp3,10.0,0.4
1076270,61810,Alto Saxophone,Lyrical Etude,"Musicality, Tempo, & Style",3,~/AudioFiles/2016-2017/AllStateAuditions/61810.mp3,20.0,0.15
