ScoreID,Student,Instrument,ScoreGroup,Description,Score,RecordingPath
1268112,74297,Flute,Lyrical Etude,Tone Quality,16,https://flmusiced.org/mpaonline/AudioFiles/2017-2018/AllStateAuditions/74297.mp3
1268113,74297,Flute,Lyrical Etude,Note Accuracy,8,https://flmusiced.org/mpaonline/AudioFiles/2017-2018/AllStateAuditions/74297.mp3
1268114,74297,Flute,Lyrical Etude,Rhythmic Accuracy,8,https://flmusiced.org/mpaonline/AudioFiles/2017-2018/AllStateAuditions/74297.mp3
1268115,74297,Flute,Lyrical Etude,"Musicallity, Tempo & Style",15,https://flmusiced.org/mpaonline/AudioFiles/2017-2018/AllStateAuditions/74297.mp3
1268116,74297,Flute,Technical Etude,Tone Quality,10,https://flmusiced.org/mpaonline/AudioFiles/2017-2018/AllStateAuditions/74297.mp3
1268117,74297,Flute,Technical Etude,Note Accuracy,4,https://flmusiced.org/mpaonline/AudioFiles/2017-2018/AllStateAuditions/74297.mp3
1268118,74297,Flute,Technical Etude,Rhythmic Accuracy,5,https://flmusiced.org/mpaonline/AudioFiles/2017-2018/AllStateAuditions/74297.mp3
1268119,74297,Flute,Technical Etude,"Musicallity, Tempo & Style",15,https://flmusiced.org/mpaonline/AudioFiles/2017-2018/AllStateAuditions/74297.mp3
1268120,74297,Flute,Chromatic Scale,Chromatic Scale,5,https://flmusiced.org/mpaonline/AudioFiles/2017-2018/AllStateAuditions/74297.mp3
1268121,74297,Flute,Major Scales,G,7,https://flmusiced.org/mpaonline/AudioFiles/2017-2018/AllStateAuditions/74297.mp3
1268122,74297,Flute,Major Scales,C,12,https://flmusiced.org/mpaonline/AudioFiles/2017-2018/AllStateAuditions/74297.mp3
1268123,74297,Flute,Major Scales,F,7,https://flmusiced.org/mpaonline/AudioFiles/2017-2018/AllStateAuditions/74297.mp3
1268124,74297,Flute,Major Scales,Bb,5,https://flmusiced.org/mpaonline/AudioFiles/2017-2018/AllStateAuditions/74297.mp3
1268125,74297,Flute,Major Scales,Eb,5,https://flmusiced.org/mpaonline/AudioFiles/2017-2018/AllStateAuditions/74297.mp3
1268126,74297,Flute,Major Scales,Ab,5,https://flmusiced.org/mpaonline/AudioFiles/2017-2018/AllStateAuditions/74297.mp3
1268127,74297,Flute,Major Scales,Db,5,https://flmusiced.org/mpaonline/AudioFiles/2017-2018/AllStateAuditions/74297.mp3
1268128,74297,Flute,Major Scales,Gb,6,https://flmusiced.org/mpaonline/AudioFiles/2017-2018/AllStateAuditions/74297.mp3
1268129,74297,Flute,Major Scales,B,6,https://flmusiced.org/mpaonline/AudioFiles/2017-2018/AllStateAuditions/74297.mp3
1268130,74297,Flute,Major Scales,E,5,https://flmusiced.org/mpaonline/AudioFiles/2017-2018/AllStateAuditions/74297.mp3
1268131,74297,Flute,Major Scales,A,4,https://flmusiced.org/mpaonline/AudioFiles/2017-2018/AllStateAuditions/74297.mp3
1268132,74297,Flute,Major Scales,D,4,https://flmusiced.org/mpaonline/AudioFiles/2017-2018/AllStateAuditions/74297.mp3
1268133,74297,Flute,Sight-Reading,Tone Quality,5,https://flmusiced.org/mpaonline/AudioFiles/2017-2018/AllStateAuditions/74297.mp3
1268134,74297,Flute,Sight-Reading,Note Accuracy,4,https://flmusiced.org/mpaonline/AudioFiles/2017-2018/AllStateAuditions/74297.mp3
1268135,74297,Flute,Sight-Reading,Rhythmic Accuracy,4,https://flmusiced.org/mpaonline/AudioFiles/2017-2018/AllStateAuditions/74297.mp3
1268136,74297,Flute,Sight-Reading,"Musicallity, Tempo & Style",3,https://flmusiced.org/mpaonline/AudioFiles/2017-2018/AllStateAuditions/74297.mp3
1316155,74299,Euphonium,Lyrical Etude,Tone Quality,15,https://flmusiced.org/mpaonline/AudioFiles/2017-2018/AllStateAuditions/74299.mp3
1316156,74299,Euphonium,Lyrical Etude,Note Accuracy,10,https://flmusiced.org/mpaonline/AudioFiles/2017-2018/AllStateAuditions/74299.mp3
