ScoreID,Student,Instrument,ScoreGroup,Description,Score,RecordingPath
1546709,85970,Trumpet,Lyrical Etude,Tone Quality,10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85970.mp3
1546710,85970,Trumpet,Lyrical Etude,Note Accuracy,5,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85970.mp3
1546711,85970,Trumpet,Lyrical Etude,Rhythmic Accuracy,5,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85970.mp3
1546732,85970,Trumpet,Lyrical Etude,"Musicallity, Tempo & Style",8,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85970.mp3
1546733,85970,Trumpet,Technical Etude,Tone Quality,10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85970.mp3
1546735,85970,Trumpet,Technical Etude,Note Accuracy,5,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85970.mp3
1546736,85970,Trumpet,Technical Etude,Rhythmic Accuracy,5,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85970.mp3
1546737,85970,Trumpet,Technical Etude,"Musicallity, Tempo & Style",9,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85970.mp3
1481826,85970,Trumpet,Chromatic Scale,Chromatic Scale,15,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85970.mp3
1481827,85970,Trumpet,Major Scales,C,7,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85970.mp3
1481828,85970,Trumpet,Major Scales,F,10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85970.mp3
1481829,85970,Trumpet,Major Scales,Bb,10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85970.mp3
1481830,85970,Trumpet,Major Scales,Eb,10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85970.mp3
1481831,85970,Trumpet,Major Scales,Ab,9,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85970.mp3
1481832,85970,Trumpet,Major Scales,Db,5,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85970.mp3
1481833,85970,Trumpet,Major Scales,Gb,5,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85970.mp3
1481834,85970,Trumpet,Major Scales,B,5,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85970.mp3
1481835,85970,Trumpet,Major Scales,E,9,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85970.mp3
1481836,85970,Trumpet,Major Scales,A,5,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85970.mp3
1481837,85970,Trumpet,Major Scales,D,5,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85970.mp3
1481838,85970,Trumpet,Major Scales,G,9,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85970.mp3
1495620,85970,Trumpet,Sight-Reading,Tone Quality,6,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85970.mp3
1495621,85970,Trumpet,Sight-Reading,Note Accuracy,4,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85970.mp3
1495622,85970,Trumpet,Sight-Reading,Rhythmic Accuracy,3,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85970.mp3
1495623,85970,Trumpet,Sight-Reading,"Musicallity, Tempo & Style",2,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85970.mp3
1511650,85985,Bb Clarinet,Lyrical Etude,Tone Quality,10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85985.mp3
1511651,85985,Bb Clarinet,Lyrical Etude,Note Accuracy,10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85985.mp3
1511652,85985,Bb Clarinet,Lyrical Etude,Rhythmic Accuracy,10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85985.mp3
1511653,85985,Bb Clarinet,Lyrical Etude,"Musicallity, Tempo & Style",10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85985.mp3
1511654,85985,Bb Clarinet,Technical Etude,Tone Quality,10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85985.mp3
1511655,85985,Bb Clarinet,Technical Etude,Note Accuracy,10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85985.mp3
1511656,85985,Bb Clarinet,Technical Etude,Rhythmic Accuracy,10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85985.mp3
1511657,85985,Bb Clarinet,Technical Etude,"Musicallity, Tempo & Style",10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85985.mp3
1511658,85985,Bb Clarinet,Chromatic Scale,Chromatic Scale,10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85985.mp3
1511659,85985,Bb Clarinet,Major Scales,C,5,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85985.mp3
1511660,85985,Bb Clarinet,Major Scales,F,2,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85985.mp3
1511661,85985,Bb Clarinet,Major Scales,Bb,2,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85985.mp3
1511662,85985,Bb Clarinet,Major Scales,Eb,1,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85985.mp3
1511663,85985,Bb Clarinet,Major Scales,Ab,1,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85985.mp3
1511664,85985,Bb Clarinet,Major Scales,Db,2,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85985.mp3
1511665,85985,Bb Clarinet,Major Scales,Gb,1,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85985.mp3
1511666,85985,Bb Clarinet,Major Scales,B,4,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85985.mp3
1511667,85985,Bb Clarinet,Major Scales,E,1,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85985.mp3
1511668,85985,Bb Clarinet,Major Scales,A,2,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85985.mp3
1511669,85985,Bb Clarinet,Major Scales,D,1,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85985.mp3
1511670,85985,Bb Clarinet,Major Scales,G,4,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85985.mp3
