ScoreID,Student,Instrument,ScoreGroup,Description,Score,RecordingPath
1482818,85982,Flute,Lyrical Etude,Tone Quality,10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85982_copy.mp3
1482819,85982,Flute,Lyrical Etude,Note Accuracy,8,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85982_copy.mp3
1482820,85982,Flute,Lyrical Etude,Rhythmic Accuracy,8,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85982_copy.mp3
1482821,85982,Flute,Lyrical Etude,"Musicallity, Tempo & Style",12,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85982_copy.mp3
1482822,85982,Flute,Technical Etude,Tone Quality,12,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85982_copy.mp3
1482823,85982,Flute,Technical Etude,Note Accuracy,8,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85982_copy.mp3
1482824,85982,Flute,Technical Etude,Rhythmic Accuracy,8,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85982_copy.mp3
1482826,85982,Flute,Technical Etude,"Musicality, Tempo & Style",12,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85982_copy.mp3
1482829,85982,Flute,Chromatic Scale,Chromatic Scale,0,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85982_copy.mp3
1482830,85982,Flute,Major Scales,G,5,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85982_copy.mp3
1482833,85982,Flute,Major Scales,C,7,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85982_copy.mp3
1482837,85982,Flute,Major Scales,F,6,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85982_copy.mp3
1482842,85982,Flute,Major Scales,Bb,0,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85982_copy.mp3
1482843,85982,Flute,Major Scales,Eb,0,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85982_copy.mp3
1482844,85982,Flute,Major Scales,Ab,0,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85982_copy.mp3
1482845,85982,Flute,Major Scales,Db,0,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85982_copy.mp3
1482848,85982,Flute,Sight-Reading,Tone Quality,5,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85982_copy.mp3
1482849,85982,Flute,Sight-Reading,Note Accuracy,4,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85982_copy.mp3
1482850,85982,Flute,Sight-Reading,Rhythmic Accuracy,2,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85982_copy.mp3
1482851,85982,Flute,Sight-Reading,"Musicallity, Tempo & Style",2,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/85982_copy.mp3
1540131,86022,Tenor Saxophone,Lyrical Etude,Tone Quality,7,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86022.mp3
1540132,86022,Tenor Saxophone,Lyrical Etude,Note Accuracy,9,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86022.mp3
1540133,86022,Tenor Saxophone,Lyrical Etude,Rhythmic Accuracy,9,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86022.mp3
1540134,86022,Tenor Saxophone,Lyrical Etude,"Musicallity, Tempo & Style",7,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86022.mp3
1540135,86022,Tenor Saxophone,Technical Etude,Tone Quality,6,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86022.mp3
1540136,86022,Tenor Saxophone,Technical Etude,Note Accuracy,9,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86022.mp3
1540137,86022,Tenor Saxophone,Technical Etude,Rhythmic Accuracy,9,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86022.mp3
1540138,86022,Tenor Saxophone,Technical Etude,"Musicality, Tempo & Style",6,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86022.mp3
1540139,86022,Tenor Saxophone,Chromatic Scale,Chromatic Scale,4,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86022.mp3
1540140,86022,Tenor Saxophone,Major Scales,G,2,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86022.mp3
1540141,86022,Tenor Saxophone,Major Scales,C,5,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86022.mp3
1540142,86022,Tenor Saxophone,Major Scales,F,3,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86022.mp3
