ScoreID,Student,Instrument,ScoreGroup,Description,JudgeID,Score,RecordingPath
2232088,116683,Oboe,Lyrical Etude,Tone Quality,26ed2ece-f56b-4046-9857-6b61cfa7b63e,17,https://flmusiced.org/mpaonline/AudioFiles/2021-2022/AllStateAuditions/116683_1e18fffc.mp3
2324071,116683,Oboe,Lyrical Etude,Tone Quality,01ED9F63-825D-49AC-8DBB-E3A852AEE41E,15,https://flmusiced.org/mpaonline/AudioFiles/2021-2022/AllStateAuditions/116683_1e18fffc.mp3
2232089,116683,Oboe,Lyrical Etude,Note Accuracy,26ed2ece-f56b-4046-9857-6b61cfa7b63e,9,https://flmusiced.org/mpaonline/AudioFiles/2021-2022/AllStateAuditions/116683_1e18fffc.mp3
2324072,116683,Oboe,Lyrical Etude,Note Accuracy,01ED9F63-825D-49AC-8DBB-E3A852AEE41E,10,https://flmusiced.org/mpaonline/AudioFiles/2021-2022/AllStateAuditions/116683_1e18fffc.mp3
2232090,116683,Oboe,Lyrical Etude,Rhythmic Accuracy,26ed2ece-f56b-4046-9857-6b61cfa7b63e,9,https://flmusiced.org/mpaonline/AudioFiles/2021-2022/AllStateAuditions/116683_1e18fffc.mp3
2324073,116683,Oboe,Lyrical Etude,Rhythmic Accuracy,01ED9F63-825D-49AC-8DBB-E3A852AEE41E,9,https://flmusiced.org/mpaonline/AudioFiles/2021-2022/AllStateAuditions/116683_1e18fffc.mp3
2324074,116683,Oboe,Lyrical Etude,"Musicallity, Tempo & Style",01ED9F63-825D-49AC-8DBB-E3A852AEE41E,14,https://flmusiced.org/mpaonline/AudioFiles/2021-2022/AllStateAuditions/116683_1e18fffc.mp3
2232091,116683,Oboe,Lyrical Etude,"Musicallity, Tempo & Style",26ed2ece-f56b-4046-9857-6b61cfa7b63e,14,https://flmusiced.org/mpaonline/AudioFiles/2021-2022/AllStateAuditions/116683_1e18fffc.mp3
2324075,116683,Oboe,Technical Etude,Tone Quality,01ED9F63-825D-49AC-8DBB-E3A852AEE41E,16,https://flmusiced.org/mpaonline/AudioFiles/2021-2022/AllStateAuditions/116683_1e18fffc.mp3
2232092,116683,Oboe,Technical Etude,Tone Quality,26ed2ece-f56b-4046-9857-6b61cfa7b63e,16,https://flmusiced.org/mpaonline/AudioFiles/2021-2022/AllStateAuditions/116683_1e18fffc.mp3
2232093,116683,Oboe,Technical Etude,Note Accuracy,26ed2ece-f56b-4046-9857-6b61cfa7b63e,9,https://flmusiced.org/mpaonline/AudioFiles/2021-2022/AllStateAuditions/116683_1e18fffc.mp3
2324076,116683,Oboe,Technical Etude,Note Accuracy,01ED9F63-825D-49AC-8DBB-E3A852AEE41E,9,https://flmusiced.org/mpaonline/AudioFiles/2021-2022/AllStateAuditions/116683_1e18fffc.mp3
2232094,116683,Oboe,Technical Etude,Rhythmic Accuracy,26ed2ece-f56b-4046-9857-6b61cfa7b63e,8,https://flmusiced.org/mpaonline/AudioFiles/2021-2022/AllStateAuditions/116683_1e18fffc.mp3
2324077,116683,Oboe,Technical Etude,Rhythmic Accuracy,01ED9F63-825D-49AC-8DBB-E3A852AEE41E,10,https://flmusiced.org/mpaonline/AudioFiles/2021-2022/AllStateAuditions/116683_1e18fffc.mp3
2232095,116683,Oboe,Technical Etude,"Musicality, Tempo & Style",26ed2ece-f56b-4046-9857-6b61cfa7b63e,15,https://flmusiced.org/mpaonline/AudioFiles/2021-2022/AllStateAuditions/116683_1e18fffc.mp3
